ID	Description	Protein Length	TMHMM Topology	Loop Length Info	List of Sequons and Locations
C04F5.1	locus:sid-1	776	o314-336i425-447o483-502i509-531o546-568i575-597o601-620i633-655o660-679i692-711o742-761i	o(1-314=313), i(336-425=89), o(447-483=36), i(502-509=7), o(531-546=15), i(568-575=7), o(597-601=4), i(620-633=13), o(655-660=5), i(679-692=13), o(711-742=31)	NTS(290)/o 
C05D12.1	no description	498	o241-263i291-313o328-350i363-385o400-422i472-494o	o(1-241=240), i(263-291=28), o(313-328=15), i(350-363=13), o(385-400=15), i(422-472=50)	NCS(215)/o 
C05D2.1a	locus:daf-4	744	i230-252o	i(1-230=229)	NGT(60)/i NST(134)/i 
C05D2.1d	locus:daf-4	446	i12-31o230-252i	i(1-12=11), o(31-230=199)	NGT(60)/o NST(134)/o 
C06B8.2a	no description	352	i7-24o	i(1-7=6)	NCT(244)/m 
C06B8.2b	no description	376	i7-24o	i(1-7=6)	NCT(244)/m 
C06B8.7	Human M130 antigen like protein	3118	o2831-2853i	o(1-2831=2830)	NGS(1995)/o 
C06G8.2	locus:opt-1 oligopeptide transporter	785	o70-92i99-121o134-156i169-191o206-228i300-317o346-368i381-403o709-731i738-760o	o(1-70=69), i(92-99=7), o(121-134=13), i(156-169=13), o(191-206=15), i(228-300=72), o(317-346=29), i(368-381=13), o(403-709=306), i(731-738=7)	NIT(467)/o 
C06G8.2	locus:opt-1 oligopeptide transporter	785	o70-92i99-121o134-156i169-191o206-228i300-317o346-368i381-403o709-731i738-760o	o(1-70=69), i(92-99=7), o(121-134=13), i(156-169=13), o(191-206=15), i(228-300=72), o(317-346=29), i(368-381=13), o(403-709=306), i(731-738=7)	NIT(467)/o 
C06H5.7	no description	396	o37-59i80-102o117-139i152-174o205-224i256-278o293-315i	o(1-37=36), i(59-80=21), o(102-117=15), i(139-152=13), o(174-205=31), i(224-256=32), o(278-293=15)	NLT(12)/o 
C07F11.1	locus:tol-1	1221	o999-1021i	o(1-999=998)	NIS(176)/o NNS(387)/o NVT(940)/o 
C07G3.9	no description	501	o477-499i	o(1-477=476)	NMS(72)/o 
C08B11.4	locus:nrf-6	822	o309-331i378-400o423-445i476-498o536-558i565-587o614-636i653-675o685-707i720-742o762-784i	o(1-309=308), i(331-378=47), o(400-423=23), i(445-476=31), o(498-536=38), i(558-565=7), o(587-614=27), i(636-653=17), o(675-685=10), i(707-720=13), o(742-762=20)	NVT(236)/o 
C08F11.8	UDP-glucoronosyl and UDP-glucosyl transferases	534	o496-518i	o(1-496=495)	NKT(68)/o 
C09D8.1a	phosphatase with fibronectin type III- like domains (DPTP and Llocus:ptp-3 protein-tyrosine	2180	i20-42o	i(1-20=19)	NTS(574)/m NHT(1192)/m 
C09F9.2	no description	1642	o1470-1492i	o(1-1470=1469)	NVT(101)/o 
C10H11.4	no description	537	o498-520i	o(1-498=497)	NVT(48)/o 
C14A4.3	no description	603	i109-126o131-153i165-187o207-229i242-264o305-327i339-361o371-390i403-422o	i(1-109=108), o(126-131=5), i(153-165=12), o(187-207=20), i(229-242=13), o(264-305=41), i(327-339=12), o(361-371=10), i(390-403=13)	NRT(443)/m 
C15H9.4	no description	467	o393-415i428-445o	o(1-393=392), i(415-428=13)	NKT(460)/m 
C16D9.6	no description	340	i39-61o	i(1-39=38)	NET(117)/m 
C17D12.3	no description	418	i31-53o	i(1-31=30)	NQT(161)/m NNS(273)/m 
C17E4.9	sodium /potassium transporting ATPase beta chain	320	i53-75o	i(1-53=52)	NAT(140)/m 
C17G1.2	no description	280	o184-206i	o(1-184=183)	NFT(143)/o 
C18A11.3	no description	268	i35-57o	i(1-35=34)	NFS(77)/m 
C18B12.4	"Zinc finger, C3HC4 type (RING finger)"	456	i7-29o193-215i	i(1-7=6), o(29-193=164)	NST(119)/o 
C18C4.3	UDP-glucuronosyltransferase	526	o487-509i	o(1-487=486)	NLT(58)/o 
C23H3.2a	no description	349	i75-97o164-186i198-220o286-308i	i(1-75=74), o(97-164=67), i(186-198=12), o(220-286=66)	NQT(130)/o 
C23H3.2a	no description	349	i75-97o164-186i198-220o286-308i	i(1-75=74), o(97-164=67), i(186-198=12), o(220-286=66)	NQT(130)/o 
C23H3.2b	no description	286	i12-34o101-123i135-157o223-245i	i(1-12=11), o(34-101=67), i(123-135=12), o(157-223=66)	NQT(67)/o 
C24A3.6	locus:twk-18 potassium channel protein	461	i21-43o112-134i147-169o226-248i253-275o279-301i	i(1-21=20), o(43-112=69), i(134-147=13), o(169-226=57), i(248-253=5), o(275-279=4)	NRT(88)/o 
C24G6.2a	protein kinase	903	o475-497i	o(1-475=474)	NLT(89)/o NRS(415)/o 
C25B8.4a	asialoglycoprotein receptor	212	i7-24o	i(1-7=6)	NGT(197)/m 
C25B8.4b	no description	248	i38-60o	i(1-38=37)	NGT(233)/m 
C25F6.7a	no description	307	i103-125o	i(1-103=102)	NLT(186)/m 
C25F6.7b	no description	306	i102-124o	i(1-102=101)	NLT(185)/m 
C26G2.1	Immunoglobulin domain ; Fibronectin type III domain	1270	o1084-1106i	o(1-1084=1083)	NVT(251)/o NET(638)/o NTS(679)/o NAT(839)/o 
C27C12.7	locus:dpf-2 dipeptidyl aminopeptidase like	829	i21-43o	i(1-21=20)	NNT(314)/m 
C27F2.8	no description	1831	i12-29o1170-1192i1259-1281o	i(1-12=11), o(29-1170=1141), i(1192-1259=67)	NVS(451)/o NFS(630)/o NLT(1006)/o 
C34G6.6a	no description	1048	o1017-1039i	o(1-1017=1016)	NKT(250)/o NKT(702)/o NGT(738)/o NMT(784)/o 
C34G6.6b	no description	1052	o1021-1043i	o(1-1021=1020)	NKT(250)/o NKT(706)/o NGT(742)/o NMT(788)/o 
C36C5.12	no description	219	i21-43o	i(1-21=20)	NST(104)/m 
C36E8.3	no description	498	o441-463i	o(1-441=440)	NIS(262)/o 
C38C10.2	Sodium /phosphate transporter	493	i13-32o113-132i139-161o176-195i202-224o309-331i343-365o375-397i404-426o441-463i	i(1-13=12), o(32-113=81), i(132-139=7), o(161-176=15), i(195-202=7), o(224-309=85), i(331-343=12), o(365-375=10), i(397-404=7), o(426-441=15)	NSS(69)/o 
C38D4.1a	no description	462	i7-29o111-130i	i(1-7=6), o(29-111=82)	NAT(51)/o 
C38D4.1b	no description	144	i7-29o111-130i	i(1-7=6), o(29-111=82)	NAT(51)/o 
C40C9.5a	Carboxylesterases (2 domains)	798	o684-706i	o(1-684=683)	NIT(315)/o 
C40C9.5b	Carboxylesterases (2 domains)	795	o684-706i	o(1-684=683)	NIT(315)/o 
C41G11.4a	G-protein coupled receptor	493	o22-44i65-87o102-124i145-164o253-275i447-469o	o(1-22=21), i(44-65=21), o(87-102=15), i(124-145=21), o(164-253=89), i(275-447=172)	NGT(216)/o 
C41G11.4b	no description	514	o22-44i65-87o102-124i145-164o253-275i468-490o	o(1-22=21), i(44-65=21), o(87-102=15), i(124-145=21), o(164-253=89), i(275-468=193)	NGT(216)/o 
C42D8.8a	locus:apl-1	686	o619-641i	o(1-619=618)	NWT(249)/o 
C42D8.8b	locus:apl-1	684	o617-639i	o(1-617=616)	NWT(249)/o 
C43H6.6	no description	514	i5-27o312-334i	i(1-5=4), o(27-312=285)	NIS(107)/o 
C44B7.11	no description	895	i41-60o384-406i419-441o456-478i490-512o516-538i550-572o587-606i618-640o	i(1-41=40), o(60-384=324), i(406-419=13), o(441-456=15), i(478-490=12), o(512-516=4), i(538-550=12), o(572-587=15), i(606-618=12)	NDT(679)/m 
C44B9.3	no description	287	o178-200i	o(1-178=177)	NST(104)/o 
C44H9.1	UDP-glucuronosyltransferase	534	o497-519i	o(1-497=496)	NAT(343)/o 
C44H9.5	no description	552	o454-476i	o(1-454=453)	NLT(165)/o 
C46C2.2	transport protein	520	o15-37i112-134o138-160i162-184o219-241i306-323o334-353i366-388o459-478i	o(1-15=14), i(37-112=75), o(134-138=4), i(160-162=2), o(184-219=35), i(241-306=65), o(323-334=11), i(353-366=13), o(388-459=71)	NLT(73)/i 
C46C2.5	no description	223	i13-35o	i(1-13=12)	NCS(101)/m 
C48B4.4a	locus:ced-7 ATP-binding transport protein	1689	o254-276i304-326o336-358i389-411o434-456i947-969o1109-1131i1152-1174o1184-1206i1219-1241o1251-1273i1294-1313o	o(1-254=253), i(276-304=28), o(326-336=10), i(358-389=31), o(411-434=23), i(456-947=491), o(969-1109=140), i(1131-1152=21), o(1174-1184=10), i(1206-1219=13), o(1241-1251=10), i(1273-1294=21)	NES(126)/o NGT(997)/o NIT(1030)/o 
C48B4.4b	locus:ced-7 ABC transporters	1691	o254-276i304-326o336-358i389-411o434-456i947-969o1111-1133i1154-1176o1186-1208i1221-1243o1253-1275i1296-1315o	o(1-254=253), i(276-304=28), o(326-336=10), i(358-389=31), o(411-434=23), i(456-947=491), o(969-1111=142), i(1133-1154=21), o(1176-1186=10), i(1208-1221=13), o(1243-1253=10), i(1275-1296=21)	NES(126)/o NGT(999)/o NIT(1032)/o 
C48B4.4c	locus:ced-7 ATP-binding transport protein	1704	o254-276i304-326o336-358i389-411o434-456i960-982o1124-1146i1167-1189o1199-1221i1234-1256o1266-1288i1309-1328o	o(1-254=253), i(276-304=28), o(326-336=10), i(358-389=31), o(411-434=23), i(456-960=504), o(982-1124=142), i(1146-1167=21), o(1189-1199=10), i(1221-1234=13), o(1256-1266=10), i(1288-1309=21)	NES(126)/o NGT(1012)/o NIT(1045)/o 
C48E7.5	locus:cof-2	486	i7-29o	i(1-7=6)	NAS(55)/m NYS(193)/m 
C48E7.6	no description	1919	o1783-1805i	o(1-1783=1782)	NGT(1581)/o NYS(1694)/o 
C49H3.1	locus:gcy-8 receptor-type guanylyl cyclase	1152	i505-527o	i(1-505=504)	NGT(31)/i NET(385)/i NKS(465)/i 
C50B8.6	no description	204	o71-93i	o(1-71=70)	NQT(36)/o 
C51E3.6	Mouse YSPL-1 protein like	555	o31-53i74-96o135-157i164-182o192-210i231-253o292-314i378-400o405-424i436-455o470-492i	o(1-31=30), i(53-74=21), o(96-135=39), i(157-164=7), o(182-192=10), i(210-231=21), o(253-292=39), i(314-378=64), o(400-405=5), i(424-436=12), o(455-470=15)	NIS(268)/o 
C53C11.3	locus:ptr-5	961	i67-89o326-348i357-379o389-411i432-454o464-486i521-543o753-770i777-799o804-826i857-879o889-911i	i(1-67=66), o(89-326=237), i(348-357=9), o(379-389=10), i(411-432=21), o(454-464=10), i(486-521=35), o(543-753=210), i(770-777=7), o(799-804=5), i(826-857=31), o(879-889=10)	NAS(161)/o 
C53D5.5	gamma-glutamyltranspeptidase	642	i55-77o	i(1-55=54)	NST(290)/m NAT(408)/m NIT(415)/m NYT(582)/m 
C54D10.5	no description	384	o34-56i69-91o111-133i159-181o214-236i293-315o340-362i	o(1-34=33), i(56-69=13), o(91-111=20), i(133-159=26), o(181-214=33), i(236-293=57), o(315-340=25)	NLT(2)/o 
E01A2.7	no description	367	i5-27o	i(1-5=4)	NVS(294)/m 
E04F6.4	V. virus protein K4	635	no description	310	1	NLT(224) 	i21-43o	i(1-21=20)	NST(249)/m F01(249)/m F01(249)/m 
F02E8.6	locus:ncr-1	1383	o283-305i356-373o630-652i665-687o697-719i740-762o777-799i856-878o1129-1151i1164-1184o1189-1211i1223-1245o1260-1282i	o(1-283=282), i(305-356=51), o(373-630=257), i(652-665=13), o(687-697=10), i(719-740=21), o(762-777=15), i(799-856=57), o(878-1129=251), i(1151-1164=13), o(1184-1189=5), i(1211-1223=12), o(1245-1260=15)	NFT(231)/o 
F02G3.1a	neural cell adhesion molecule	928	i5-24o861-883i	i(1-5=4), o(24-861=837)	NNT(289)/o 
F02G3.1b	no description	913	i5-24o861-883i	i(1-5=4), o(24-861=837)	NNT(289)/o 
F02G3.1c	no description	955	i32-51o888-910i	i(1-32=31), o(51-888=837)	NNT(316)/o 
F07A5.3	membrane glycoprotein	590	i12-34o529-548i	i(1-12=11), o(34-529=495)	NVT(76)/o 
F08B12.1	no description	866	i5-22o102-124i152-174o432-454i475-497o792-814i	i(1-5=4), o(22-102=80), i(124-152=28), o(174-432=258), i(454-475=21), o(497-792=295)	NST(218)/o NIS(250)/o NIT(696)/o 
F08F1.7	locus:tag-123	655	i293-315o360-382i389-411o426-448i455-477o513-535i548-570o580-602i623-645o	i(1-293=292), o(315-360=45), i(382-389=7), o(411-426=15), i(448-455=7), o(477-513=36), i(535-548=13), o(570-580=10), i(602-623=21)	NIS(44)/i 
F09B12.3	no description	582	i20-42o	i(1-20=19)	NTT(91)/m NFT(141)/m NRT(178)/m 
F09C8.1	phospholipase precursor	374	i5-27o	i(1-5=4)	NMS(339)/m 
F09F9.4	Type I thrombospondin (TSP) repeats	654	i7-26o518-540i	i(1-7=6), o(26-518=492)	NQT(408)/o 
F10D2.2a	glucuronosyltransferase	523	i5-27o483-505i	i(1-5=4), o(27-483=456)	NGS(406)/o 
F10D2.2b	no description	370	o330-352i	o(1-330=329)	NGS(253)/o 
F10F2.4	2 leucine rich domains	656	o611-633i	o(1-611=610)	NET(183)/o 
F10G2.1	no description	201	o4-23i	o(1-4=3)	NCT(32)/m 
F11A5.9	sodium /phosphate transporter	519	i29-51o112-131i138-160o165-187i196-218o228-250i290-312o327-349i361-383o387-409i422-444o454-476i	i(1-29=28), o(51-112=61), i(131-138=7), o(160-165=5), i(187-196=9), o(218-228=10), i(250-290=40), o(312-327=15), i(349-361=12), o(383-387=4), i(409-422=13), o(444-454=10)	NAS(81)/o 
F11C1.3	membrane glycoprotein	560	i3-25o512-534i	i(1-3=2), o(25-512=487)	NKT(119)/o 
F12B6.1	locus:abt-2 abc transporter	2146	i61-80o668-690i710-732o747-769i774-793o843-865i1170-1192o1522-1544i1565-1587o1602-1624i1631-1653o1668-1690i1730-1752o	i(1-61=60), o(80-668=588), i(690-710=20), o(732-747=15), i(769-774=5), o(793-843=50), i(865-1170=305), o(1192-1522=330), i(1544-1565=21), o(1587-1602=15), i(1624-1631=7), o(1653-1668=15), i(1690-1730=40)	NTT(1418)/o NKT(1502)/o 
F13C5.5	no description	219	o181-203i	o(1-181=180)	NSS(127)/o 
F13D11.1	histidine acid phosphatase family (weak)	416	o376-398i	o(1-376=375)	NRT(97)/o 
F13G11.2	no description	217	o180-202i	o(1-180=179)	NNT(113)/o 
F14F4.3a	locus:mrp-5 ABC transporter	1400	i146-168o186-208i266-288o293-315i374-396o409-431i747-769o810-832i880-902o906-928i993-1015o1025-1043i	i(1-146=145), o(168-186=18), i(208-266=58), o(288-293=5), i(315-374=59), o(396-409=13), i(431-747=316), o(769-810=41), i(832-880=48), o(902-906=4), i(928-993=65), o(1015-1025=10)	NGT(790)/o 
F15B9.6	phospholipase A2	458	o401-423i	o(1-401=400)	NCT(131)/o 
F16D3.7	7 transmembrane receptor (rhodopsinfamily) (2 domains)	454	o62-84i97-119o134-156i177-199o219-241i300-322o337-359i	o(1-62=61), i(84-97=13), o(119-134=15), i(156-177=21), o(199-219=20), i(241-300=59), o(322-337=15)	NES(30)/o 
F17E9.4	no description	141	o4-26i	o(1-4=3)	NAT(38)/m 
F20C5.4	Yeast YCY4 like protein	361	o329-351i	o(1-329=328)	NQT(93)/o NGT(156)/o 
F21D12.3	no description	496	i47-69o74-96i133-155o165-187i194-216o226-248i269-291o311-333i346-368o378-397i425-447o	i(1-47=46), o(69-74=5), i(96-133=37), o(155-165=10), i(187-194=7), o(216-226=10), i(248-269=21), o(291-311=20), i(333-346=13), o(368-378=10), i(397-425=28)	NST(471)/m NVT(491)/m 
F21H12.4	locus:ptc-2 membrane protein patched (ptc)	667	i144-166o170-192i218-240o250-269i335-352o548-570i577-599o609-631i644-666o	i(1-144=143), o(166-170=4), i(192-218=26), o(240-250=10), i(269-335=66), o(352-548=196), i(570-577=7), o(599-609=10), i(631-644=13)	NLT(456)/o NVS(466)/o 
F23B2.11	locus:pcp-3 lysosomal carboxypeptidase	1080	i5-24o	i(1-5=4)	NVS(248)/m 
F23F1.6	amino acid permease	583	i29-51o61-83i95-117o158-180i193-212o232-254i267-289o337-359i366-384o389-411i450-472o476-498i510-532o536-555i	i(1-29=28), o(51-61=10), i(83-95=12), o(117-158=41), i(180-193=13), o(212-232=20), i(254-267=13), o(289-337=48), i(359-366=7), o(384-389=5), i(411-450=39), o(472-476=4), i(498-510=12), o(532-536=4)	NWT(144)/o 
F25F8.2	"locus:cdh-4 Approximately 25 cadherin-repeats, 3 EGF domains and one Laminin G domain statu"	434	o247-269i276-295o310-332i403-425o	o(1-247=246), i(269-276=7), o(295-310=15), i(332-403=71)	NSS(50)/o 
F26E4.11	"Zinc finger, C3HC4 type (RING finger)"	564	o15-37i57-79o84-106i119-141o151-168i188-207o211-233i271-293o	o(1-15=14), i(37-57=20), o(79-84=5), i(106-119=13), o(141-151=10), i(168-188=20), o(207-211=4), i(233-271=38)	NNT(53)/i 
F26F12.4	no description	151	o88-110i	o(1-88=87)	NNT(59)/o 
F29B9.8	no description	381	o62-84i91-110o171-193i214-233o248-270i291-313o341-363i	o(1-62=61), i(84-91=7), o(110-171=61), i(193-214=21), o(233-248=15), i(270-291=21), o(313-341=28)	NDT(136)/o 
F29D11.1	locus:lrp-1 low density lipid receptor- rlated protein	4753	o4574-4596i	o(1-4574=4573)	NIT(118)/o NHT(178)/o NKT(1431)/o NGT(1542)/o NAT(1545)/o NVS(1597)/o NGT(1718)/o NQT(2364)/o NDT(2762)/o NET(3557)/o NCT(3752)/o NGT(4063)/o 
F29F11.4	locus:twk-12 potassium channel protein like	684	i13-35o140-162i212-234o239-261i268-290o	i(1-13=12), o(35-140=105), i(162-212=50), o(234-239=5), i(261-268=7)	NTT(53)/o NDS(77)/o 
F31D4.7	locus:twk-35	557	i145-164o239-261i273-295o339-361i368-390o394-416i	i(1-145=144), o(164-239=75), i(261-273=12), o(295-339=44), i(361-368=7), o(390-394=4)	NNS(197)/o 
F32B5.8	locus:cpz-1 cysteine proteinase	306	o4-22i	o(1-4=3)	NYT(187)/m 
F33C8.1a	perlecan like glycoprotein	1329	o1175-1197i	o(1-1175=1174)	NAS(103)/o NMS(555)/o NCS(833)/o NTT(1147)/o 
F33C8.1b	no description	1292	o1138-1160i	o(1-1138=1137)	NAS(103)/o NMS(555)/o NCS(796)/o NTT(1110)/o 
F35C8.5	no description	300	o54-73i98-115o130-152i187-209o	o(1-54=53), i(73-98=25), o(115-130=15), i(152-187=35)	NLT(9)/o 
F35H10.4	locus:vha-5 hydrogen ion transport	873	o446-468i546-568o583-605i612-634o670-692i789-811o815-837i	o(1-446=445), i(468-546=78), o(568-583=15), i(605-612=7), o(634-670=36), i(692-789=97), o(811-815=4)	NAS(487)/i NRT(496)/i 
F35H8.2	no description	371	i12-34o	i(1-12=11)	NRT(67)/m NTT(316)/m 
F37C4.1	no description	666	i20-42o80-99i150-172o187-206i245-267o292-314i321-338o348-370i	i(1-20=19), o(42-80=38), i(99-150=51), o(172-187=15), i(206-245=39), o(267-292=25), i(314-321=7), o(338-348=10)	NFT(495)/m 
F37H8.5	no description	277	i21-43o	i(1-21=20)	NIT(77)/m 
F39H12.4	no description	1073	o942-964i	o(1-942=941)	NYS(100)/o 
F40A3.2	no description	230	o119-141i	o(1-119=118)	NGS(60)/o 
F40E10.6	no description	398	i19-36o51-73i151-168o183-205i226-245o265-287i	i(1-19=18), o(36-51=15), i(73-151=78), o(168-183=15), i(205-226=21), o(245-265=20)	NGT(4)/i 
F41C3.11	no description	389	i7-29o	i(1-7=6)	NKT(123)/m 
F41H10.7	locus:elo-5 integral membrane protein	286	i30-52o72-94i115-137o167-189i196-218o233-255i	i(1-30=29), o(52-72=20), i(94-115=21), o(137-167=30), i(189-196=7), o(218-233=15)	NFT(21)/i 
F42A8.3	no description	322	o245-267i	o(1-245=244)	NRT(98)/o NKS(144)/o 
F42E11.2c	no description	485	o40-62i83-105o217-239i246-268o394-416i	o(1-40=39), i(62-83=21), o(105-217=112), i(239-246=7), o(268-394=126)	NAT(163)/o NIT(176)/o 
F42G8.11	locus:sph-1 synaptic vesicle channel protein	227	i13-35o94-116i128-150o190-212i	i(1-13=12), o(35-94=59), i(116-128=12), o(150-190=40)	NQT(76)/o 
F43C9.4a	locus:mig-13 LDL-receptor class repeats ; C1R /C1S-like repeats	362	o239-261i	o(1-239=238)	NTS(63)/o 
F43C9.4b	locus:mig-13	356	o233-255i	o(1-233=232)	NTS(57)/o 
F43D9.1	Band 4.1 domain	1226	i207-229o449-471i478-500o510-532i553-575o585-607i671-693o865-887i894-916o921-943i964-986o991-1013i	i(1-207=206), o(229-449=220), i(471-478=7), o(500-510=10), i(532-553=21), o(575-585=10), i(607-671=64), o(693-865=172), i(887-894=7), o(916-921=5), i(943-964=21), o(986-991=5)	NSS(268)/o 
F44D12.2	no description	342	o319-341i	o(1-319=318)	NYT(96)/o NYT(150)/o 
F44F4.4	locus:ptr-8	890	i21-43o267-289i318-340o375-397i464-486o687-709i716-738o742-764i850-872o	i(1-21=20), o(43-267=224), i(289-318=29), o(340-375=35), i(397-464=67), o(486-687=201), i(709-716=7), o(738-742=4), i(764-850=86)	NGS(96)/o 
F45E4.6	no description	316	o196-218i	o(1-196=195)	NNT(114)/o NIT(127)/o 
F47C12.1	no description	3170	o3039-3061i	o(1-3039=3038)	NQT(451)/o 
F47E1.2	DNA binding protein F /G	744	i7-29o44-66i73-95o263-285i297-319o345-367i417-439o454-476i602-624o639-661i	i(1-7=6), o(29-44=15), i(66-73=7), o(95-263=168), i(285-297=12), o(319-345=26), i(367-417=50), o(439-454=15), i(476-602=126), o(624-639=15)	NST(174)/o NNT(197)/o NFT(527)/i 
F48E3.7	locus:acr-22 Acetycholine receptor	434	o243-265i278-300o310-332i405-427o	o(1-243=242), i(265-278=13), o(300-310=10), i(332-405=73)	NAT(211)/o 
F49B2.6	no description	1082	i38-60o	i(1-38=37)	NIT(192)/m NLT(216)/m 
F52E4.6	locus:wrt-2	454	i5-27o	i(1-5=4)	NGT(52)/m 
F53B6.1	locus:tsp-15 tetraspanin	258	i21-43o63-82i89-111o230-252i	i(1-21=20), o(43-63=20), i(82-89=7), o(111-230=119)	NGT(161)/o 
F53B6.2a	thrombospondin like	1045	i7-29o	i(1-7=6)	NVS(781)/m 
F53G12.3	no description	1503	o600-622i994-1016o1031-1053i1074-1096o1135-1157i1170-1192o1196-1215i	o(1-600=599), i(622-994=372), o(1016-1031=15), i(1053-1074=21), o(1096-1135=39), i(1157-1170=13), o(1192-1196=4)	NNS(76)/o 
F54C9.2	locus:stc-1 Heat shock 70Kd protein (HSP70)	450	i7-24o	i(1-7=6)	NGT(78)/m 
F54D1.6	no description	1423	o1319-1341i	o(1-1319=1318)	NKT(355)/o NSS(666)/o NAT(903)/o 
F54F2.1	Vitronectin receptor alpha subunit	1226	o1155-1177i	o(1-1155=1154)	NGS(108)/o NQT(228)/o NYT(608)/o NVT(679)/o NKT(819)/o 
F54G8.3	locus:ina-1 Integrin alpha chain	1139	o1084-1106i	o(1-1084=1083)	NET(108)/o NYS(580)/o NST(788)/o NYT(851)/o NAT(1026)/o 
F56B3.7	UDP-glucuronosyltransferase	541	o502-524i	o(1-502=501)	NTT(355)/o 
F56C11.1	locus:bli-3	1497	o590-612i988-1006o1026-1048i1069-1091o1129-1151i1158-1180o1190-1209i	o(1-590=589), i(612-988=376), o(1006-1026=20), i(1048-1069=21), o(1091-1129=38), i(1151-1158=7), o(1180-1190=10)	NNS(66)/o 
F56D1.4c	locus:clr-1	942	o719-738i	o(1-719=718)	NST(154)/o NLT(326)/o 
F56F3.2a	locus:ndg-4	687	o215-237i271-293o319-341i354-376o412-434i441-463o489-508i529-551o566-588i601-623o638-660i	o(1-215=214), i(237-271=34), o(293-319=26), i(341-354=13), o(376-412=36), i(434-441=7), o(463-489=26), i(508-529=21), o(551-566=15), i(588-601=13), o(623-638=15)	NKS(91)/o 
F56F3.2b	locus:ndg-4	685	o215-237i271-293o319-341i354-376o412-434i441-463o489-508i529-551o571-593i600-622o637-659i	o(1-215=214), i(237-271=34), o(293-319=26), i(341-354=13), o(376-412=36), i(434-441=7), o(463-489=26), i(508-529=21), o(551-571=20), i(593-600=7), o(622-637=15)	NKS(91)/o 
F56F4.5	locus:opt-3 oligopeptide transporter	701	o54-73i85-107o117-139i152-174o189-211i269-287o315-337i350-369o575-597i610-632o642-661i	o(1-54=53), i(73-85=12), o(107-117=10), i(139-152=13), o(174-189=15), i(211-269=58), o(287-315=28), i(337-350=13), o(369-575=206), i(597-610=13), o(632-642=10)	NES(391)/o NES(432)/o 
F56H1.1	locus:che-14	917	i19-41o267-289i321-343o347-369i376-398o413-435i448-470o485-504i509-531o743-765i772-794o798-820i840-862o866-888i	i(1-19=18), o(41-267=226), i(289-321=32), o(343-347=4), i(369-376=7), o(398-413=15), i(435-448=13), o(470-485=15), i(504-509=5), o(531-743=212), i(765-772=7), o(794-798=4), i(820-840=20), o(862-866=4)	NCT(193)/o 
F57C12.4	locus:mrp-2 ATP-binding transport family	1525	o39-61i74-96o106-128i135-157o172-194i298-317o332-354i410-432o436-458i522-544o559-581i954-976o1013-1035i1083-1105o1109-1128i1192-1214o	o(1-39=38), i(61-74=13), o(96-106=10), i(128-135=7), o(157-172=15), i(194-298=104), o(317-332=15), i(354-410=56), o(432-436=4), i(458-522=64), o(544-559=15), i(581-954=373), o(976-1013=37), i(1035-1083=48), o(1105-1109=4), i(1128-1192=64)	NRS(23)/o 
