ID	Description	Protein Length	TMHMM Topology	Loop Length Info	List of Sequons and Locations
IPI00129960	Cadherin-16	830	o788-810i	o(1-788=788) i(810-830=21)	NLS(519)/o 
IPI00109213	Sodium/calcium exchanger 1	970	o75-93i131-153o168-187i200-218o233-255i794-816o831-853i873-892o902-924i945-967o	o(1-75=75) i(93-131=39) o(153-168=16) i(187-200=14) o(218-233=16) i(255-794=540) o(816-831=16) i(853-873=21) o(892-902=11) i(924-945=22) o(967-970=13)	NET(41)/o 
IPI00420955	Sortilin 	825	o754-776i	o(1-754=754) i(776-825=50)	NNT(160)/o 
IPI00153202	Splice Isoform 1 of Angiotensin-converting enzyme 2	805	o740-762i	o(1-740=740) i(762-805=44)	NQT(660)/o NST(546)/o 
IPI00111366	Splice Isoform 1 of Tumor necrosis factor receptor superfamily member 13	175	o73-95i	o(1-73=73) i(95-175=81)	NQT(23)/o 
IPI00114274	Semaphorin-4D	861	o733-755i	o(1-733=733) i(755-861=107)	NYT(379)/o 
IPI00132474	Integrin beta-1	798	o729-751i	o(1-729=729) i(751-798=48)	NSS(520)/o NCT(212)/o NLT(669)/o 
IPI00122971	"Splice Isoform N-CAM 180 of Neural cell adhesion molecule 1, 180 kDa isoform 	1115	o706-728i735-757o	o(1-706=706) i(728-735=8) o(757-1115=8)	NCT(479)/o 
IPI00126500	Splice Isoform A of Anion exchange protein 	1237	o705-727i748-770o790-812i821-843o897-914i927-946o984-1006i1027-1049o1109-1131i1159-1178o1183-1200i	o(1-705=705) i(727-748=22) o(770-790=21) i(812-821=10) o(843-897=55) i(914-927=14) o(946-984=39) i(1006-1027=22) o(1049-1109=61) i(1131-1159=29) o(1178-1183=6) i(1200-1237=38)	NSS(878)/o 
IPI00320605	Integrin beta-2	771	o703-725i	o(1-703=703) i(725-771=47)	NVT(117)/o NFT(51)/o 
IPI00117413	Splice Isoform 1 of B-cell receptor CD22	862	o703-720i	o(1-703=703) i(720-862=143)	NDS(116)/o NSS(460)/o NNS(265)/o 
IPI00653571	"Adult male spinal cord cDNA, RIKEN full-length enriched library, clone:A330077N24 product:vascular cell adhesion molecule 1, full insert sequence	739	o699-721i	o(1-699=699) i(721-739=19)	NCT(424)/o NTT(225)/o NLT(531)/o 
IPI00138209	Splice Isoform 2A of Desmocollin-2	902	o696-718i	o(1-696=696) i(718-902=185)	NYT(392)/o 
IPI00222589	"15 days embryo head cDNA, RIKEN full-length enriched library, clone:D930032O19 product:PTK7 protein tyrosine kinase 7, full insert sequence	1062	o696-718i	o(1-696=696) i(718-1062=345)	NVT(98)/o 
IPI00461440	"Adult male testis cDNA, RIKEN full-length enriched library, clone:4921511K13 product:a disintegrin and metalloprotease domain 5, full insert sequence	771	o695-712i	o(1-695=695) i(712-771=60)	NLS(557)/o 
IPI00129613	Protocadherin gamma C	934	o693-715i	o(1-693=693) i(715-934=220)	NQS(245)/o 
IPI00378162	ADAM 2	735	o687-709i	o(1-687=687) i(709-735=27)	NCS(359)/o 
IPI00117161	Zona pellucida sperm-binding protein 2	713	o684-703i	o(1-684=684) i(703-713=11)	NSS(393)/o 
IPI00131881	ADAM 10	749	o675-697i	o(1-675=675) i(697-749=53)	NFT(552)/o NTT(279)/o 
IPI00126232	Splice Isoform 1 of Meprin A beta-subunit	704	o658-680i	o(1-658=658) i(680-704=25)	NTS(316)/o NGT(548)/o NGT(219)/o 
IPI00357770	PREDICTED: v-erb-a erythroblastic leukemia viral oncogene homolog 	1308	o653-675i780-799o	o(1-653=653) i(675-780=106) o(799-1308=6)	NET(754)/i 
IPI00122411	EGF-like module containing mucin-like hormone receptor-like 1	931	o649-671i684-701o716-738i755-777o797-819i840-860o870-892i	o(1-649=649) i(671-684=14) o(701-716=16) i(738-755=18) o(777-797=21) i(819-840=22) o(860-870=11) i(892-931=40)	NES(498)/o 
IPI00121190	Epidermal growth factor receptor	1210	o648-670i775-797o	o(1-648=648) i(670-775=106) o(797-1210=8)	NIT(568)/o NMS(175)/o 
IPI00310059	Polymeric-immunoglobulin receptor	771	o646-668i	o(1-646=646) i(668-771=104)	NQS(170)/o 
IPI00314132	Splice Isoform 1 of Mucin and cadherin-like protein	831	o640-662i	o(1-640=640) i(662-831=170)	NTT(143)/o NSS(408)/o 
IPI00343568	CD180 antigen	661	o628-650i	o(1-628=628) i(650-661=12)	NLS(394)/o NLS(402)/o NLT(78)/o 
IPI00115793	Desmoglein-2	1122	o618-640i	o(1-618=618) i(640-1122=483)	NGT(467)/o 
IPI00406901	"16 days neonate thymus cDNA, RIKEN full-length enriched library, clone:A130026C24 product:platelet/endothelial cell adhesion molecule, full insert sequence	732	o592-614i	o(1-592=592) i(614-732=119)	NGT(424)/o NFS(360)/o NVT(74)/o 
IPI00470960	"Glutamate receptor, metabotropic 4	832	o590-612i625-644o654-671i698-720o751-773i786-808o	o(1-590=590) i(612-625=14) o(644-654=11) i(671-698=28) o(720-751=32) i(773-786=14) o(808-832=20)	NIT(98)/o 
IPI00321348	"ImmunoglobulIn superfamIly, member 8	611	o578-600i	o(1-578=578) i(600-611=12)	NYS(137)/o NVS(325)/o 
IPI00123966	Potassium voltage-gated channel subfamily E member 	103	o57-79i	o(1-57=57) i(79-103=25)	NQT(41)/o 
IPI00381059	Leucine rich repeat containing 4	709	o573-595i	o(1-573=573) i(595-709=115)	NGT(402)/o 
IPI00108764	C-X-C chemokine receptor type 	374	o56-78i91-113o128-147i168-190o222-244i264-286o301-323i	o(1-56=56) i(78-91=14) o(113-128=16) i(147-168=22) o(190-222=33) i(244-264=21) o(286-301=16) i(323-374=52)	NDS(198)/o 
IPI00461132	Leucocyte common antige	1291	o565-586i828-850o	o(1-565=565) i(586-828=243) o(850-1291=14)	NIS(311)/o NNT(322)/o NYT(347)/o 
IPI00469123	Melanoma cell adhesion molecul	648	o562-584i	o(1-562=562) i(584-648=65)	NFS(58)/o 
IPI00118385	Splice Isoform 1 of Glutamate [NMDA] receptor subunit zeta 1	938	o561-580i635-657o815-837i	o(1-561=561) i(580-635=56) o(657-815=159) i(837-938=102)	NYS(350)/o NGT(368)/o NDT(440)/o 
IPI00125851	Chloride channel protein 	746	o55-77i133-155o160-182i189-208o212-229i242-264o314-336i355-372o425-447i454-471o491-513i520-542o	o(1-55=55) i(77-133=57) o(155-160=6) i(182-189=8) o(208-212=5) i(229-242=14) o(264-314=51) i(336-355=20) o(372-425=54) i(447-454=8) o(471-491=21) i(513-520=8) o(542-746=47)	NTS(408)/o 
IPI00134200	"Adult male testis cDNA, RIKEN full-length enriched library, clone:4930471K13 product:hypothetical RNI-like structure containing protein, full insert sequence	614	o554-576i	o(1-554=554) i(576-614=39)	NLT(138)/o NST(536)/o 
IPI00122257	5'-nucleotidase	576	o553-575i	o(1-553=553) i(575-576=2)	NYS(335)/o 
IPI00131472	Splice Isoform Flip of Glutamate receptor 3	888	o545-567i630-652o820-842i	o(1-545=545) i(567-630=64) o(652-820=169) i(842-888=47)	NIT(260)/o 
IPI00279010	Lu protei	650	o541-563i	o(1-541=541) i(563-650=88)	NQS(323)/o NSS(370)/o NCS(377)/o 
IPI00131526	Splice Isoform 1 of CD209 antigen-like protein 	325	o53-75i	o(1-53=53) i(75-325=251)	NES(141)/i NES(112)/i 
IPI00330539	Splice Isoform 1 of Kin of IRRE-like protein 1	789	o529-551i	o(1-529=529) i(551-789=239)	NLT(172)/o 
IPI00121378	CD166 antigen	583	o528-550i	o(1-528=528) i(550-583=34)	NYT(95)/o NIT(167)/o NIT(265)/o NVS(499)/o NVT(480)/o 
IPI00229083	"Adult male urinary bladder cDNA, RIKEN full-length enriched library, clone:9530002K18 product:hypothetical Kazal-type serine protease inhibitor domain containing protein, full insert sequence	90	o5-27i	o(1-5=5) i(27-90=64)	NCT(38)/i 
IPI00131641	LOC237403 protei	589	o526-548i	o(1-526=526) i(548-589=42)	NET(509)/o 
IPI00475157	Serpina1b protei	413	o5-24i66-88o	o(1-5=5) i(24-66=43) o(88-413=2)	NAS(265)/o 
IPI00131622	Prion-like protein doppel	179	o5-24i156-178o	o(1-5=5) i(24-156=133) o(178-179=22)	NAT(111)/i 
IPI00112105	Cystatin-related epididymal spermatogenic protein	142	o5-22i	o(1-5=5) i(22-142=121)	NNT(100)/i 
IPI00126092	Splice Isoform 2 of Leukocyte common antigen	1248	o522-543i785-807o	o(1-522=522) i(543-785=243) o(807-1248=21)	NVT(446)/o NVT(384)/o 
IPI00129423	Thrombomodulin	577	o519-541i	o(1-519=519) i(541-577=37)	NHT(113)/o 
IPI00387418	"Activated spleen cDNA, RIKEN full-length enriched library, clone:F830033I22 product:glycoprotein 5 (platelet), full insert sequence	567	o519-541i	o(1-519=519) i(541-567=27)	NLT(181)/o NGT(298)/o NLT(51)/o 
IPI00395031	"Adult pancreas islet cells cDNA, RIKEN full-length enriched library, clone:C820003N21 product:similar to DJ5O6.2	425	o51-73i93-115o130-152i192-209o224-246i258-280o305-327i	o(1-51=51) i(73-93=21) o(115-130=16) i(152-192=41) o(209-224=16) i(246-258=13) o(280-305=26) i(327-425=99)	NGS(43)/o 
IPI00276515	Splice Isoform L-MAG of Myelin-associated glycoprotein	627	o511-533i	o(1-511=511) i(533-627=95)	NVT(450)/o NET(454)/o 
IPI00112322	"Adult male colon cDNA, RIKEN full-length enriched library, clone:9030614P22 product:UDP-glucuronosyltransferase 2 family, member 5, full insert sequence	541	o506-528i	o(1-506=506) i(528-541=14)	NMT(327)/o 
IPI00311808	Transmembrane glycoprotein NMB	574	o500-522i	o(1-500=500) i(522-574=53)	NDS(275)/o NLS(249)/o 
IPI00463764	"6 days neonate spleen cDNA, RIKEN full-length enriched library, clone:F430112M20 product:Hypothetical protein (Hypothetical UDP- glucoronosyl and UDP-glucosyl transferase containing protein), full insert sequence	523	o488-510i	o(1-488=488) i(510-523=14)	NVT(52)/o 
IPI00122973	Splice Isoform 1 of Intercellular adhesion molecule 1	537	o486-508i	o(1-486=486) i(508-537=30)	NCS(47)/o NVS(204)/o 
IPI00318395	Potassium voltage-gated channel subfamily E member 	123	o47-69i	o(1-47=47) i(69-123=55)	NTT(29)/o 
IPI00338202	"2 days neonate thymus thymic cells cDNA, RIKEN full-length enriched library, clone:E430024D23 product:putative homeodomain transcription factor, full insert sequence	708	o470-492i557-579o594-611i	o(1-470=470) i(492-557=66) o(579-594=16) i(611-708=98)	NIT(679)/i 
IPI00129646	T-lymphocyte surface antigen Ly-9	654	o455-474i	o(1-455=455) i(474-654=181)	NLT(120)/o 
IPI00120882	Natural killer cell surface protein P1-3	223	o44-66i	o(1-44=44) i(66-223=158)	NGS(186)/i 
IPI00312509	Tyrosine-protein kinase receptor UFO	888	o444-466i	o(1-444=444) i(466-888=423)	NIT(37)/o 
IPI00119063	AM2 recepto	4545	o4423-4445i	o(1-4423=4423) i(4445-4545=101)	NNT(3663)/o NIS(3954)/o NRT(1559)/o NIS(1724)/o NHT(1734)/o NDT(2473)/o NGT(4076)/o NYT(3049)/o NCT(4365)/o NAT(2128)/o NST(447)/o NGS(3090)/o NGT(730)/o NAS(3789)/o 
IPI00123957	Cd97 protei	724	o441-463i470-489o511-533i545-562o582-604i625-647o657-679i	o(1-441=441) i(463-470=8) o(489-511=23) i(533-545=13) o(562-582=21) i(604-625=22) o(647-657=11) i(679-724=46)	NYT(205)/o NGS(301)/o 
IPI00126146	Splice Isoform 2 of Tyrosine-protein kinase receptor TYRO3	894	o433-455i	o(1-433=433) i(455-894=440)	NVT(195)/o 
IPI00111163	Ectonucleotide pyrophosphatase/phosphodiesterase 5	477	o430-452i	o(1-430=430) i(452-477=26)	NLT(292)/o 
IPI00113001	Putative taste receptor type 2 member 4	293	o4-26i47-69o79-101i128-150o182-204i232-249o259-281i	o(1-4=4) i(26-47=22) o(69-79=11) i(101-128=28) o(150-182=33) i(204-232=29) o(249-259=11) i(281-293=13)	NRT(38)/i 
IPI00129923	Protein FAM3D	223	o4-26i	o(1-4=4) i(26-223=198)	NGS(106)/i 
IPI00108535	Splice Isoform Long of Carcinoembryonic antigen-related cell adhesion molecule 1	521	o426-448i	o(1-426=426) i(448-521=74)	NGS(104)/o NIT(317)/o NTT(333)/o 
IPI00454159	Splice Isoform 1 of Chondroitin sulfate proteoglycan 5	566	o421-443i	o(1-421=421) i(443-566=124)	NGT(355)/o 
IPI00225072	"Activated spleen cDNA, RIKEN full-length enriched library, clone:F830227L19 product:ectonucleotide pyrophosphatase/phosphodiesterase 4, full insert sequence	456	o408-430i	o(1-408=408) i(430-456=27)	NYS(262)/o NVT(279)/o 
IPI00321919	G-protein coupled receptor 56	687	o406-428i441-463o473-495i508-530o569-591i603-625o631-653i	o(1-406=406) i(428-441=14) o(463-473=11) i(495-508=14) o(530-569=40) i(591-603=13) o(625-631=7) i(653-687=35)	NAS(171)/o NLS(324)/o 
IPI00322447	RA17	456	o388-410i	o(1-388=388) i(410-456=47)	NFS(104)/o NKT(307)/o 
IPI00119525	Histamine H3 recepto	445	o38-60i72-94o109-128i156-178o198-220i360-382o397-419i	o(1-38=38) i(60-72=13) o(94-109=16) i(128-156=29) o(178-198=21) i(220-360=141) o(382-397=16) i(419-445=27)	NAS(11)/o 
IPI00153343	Potassium voltage-gated channel subfamily C member 	628	o384-406i427-444o454-476i	o(1-384=384) i(406-427=22) o(444-454=11) i(476-628=153)	NIT(269)/o 
IPI00263505	Splice Isoform 1 of Sad1/unc-84 protein-like 	913	o384-406i413-435o	o(1-384=384) i(406-413=8) o(435-913=31)	NIS(834)/o 
IPI00134549	Splice Isoform LAMP-2A of Lysosome-associated membrane glycoprotein 2	415	o383-405i	o(1-383=383) i(405-415=11)	NLT(29)/o NFT(265)/o 
IPI00129158	Splice Isoform 1 of Tyrosine-protein phosphatase non-receptor type substrate 1	513	o374-396i	o(1-374=374) i(396-513=118)	NVS(293)/o NDT(297)/o NHT(345)/o NVT(110)/o NVS(205)/o NIS(209)/o NLS(246)/o NLT(271)/o NYT(312)/o NSS(320)/o 
IPI00469218	"Adult male lung cDNA, RIKEN full-length enriched library, clone:1200007I01 product:lysosomal membrane glycoprotein 1, full insert sequence	407	o374-396i	o(1-374=374) i(396-407=12)	NVS(79)/o NLS(116)/o NVT(160)/o NIS(249)/o NDT(253)/o NMT(297)/o NHS(312)/o 
IPI00459432	"Bone marrow macrophage cDNA, RIKEN full-length enriched library, clone:I830015H17 product:Kidney predominant protein (RIKEN cDNA 0610031J06 gene), full insert sequence	404	o370-392i	o(1-370=370) i(392-404=13)	NHS(228)/o NAS(133)/o NGS(185)/o 
IPI00227826	Cell adhesion molecule nectin-3 bet	510	o368-390i	o(1-368=368) i(390-510=121)	NET(186)/o 
IPI00653610	"Adult male diencephalon cDNA, RIKEN full-length enriched library, clone:9330011K09 product:Interleukin-1 receptor accessory protein (IL- 1 receptor accessory protein) (IL-1RAcP) homolog	640	o360-382i	o(1-360=360) i(382-640=259)	NDT(107)/o NYT(111)/o 
IPI00128628	Sphingosine 1-phosphate receptor Edg-	352	o35-57i69-91o106-128i148-170o193-215i228-250o270-287i	o(1-35=35) i(57-69=13) o(91-106=16) i(128-148=21) o(170-193=24) i(215-228=14) o(250-270=21) i(287-352=66)	NYT(19)/o 
IPI00121627	"B16 F10Y cells cDNA, RIKEN full-length enriched library, clone:G370012H18 product:cleft lip and palate associated transmembrane protein 1, full insert sequence	664	o355-377i390-412o417-434i478-497o507-529i	o(1-355=355) i(377-390=14) o(412-417=6) i(434-478=45) o(497-507=11) i(529-664=136)	NES(295)/o 
IPI00109375	Splice Isoform Beta of Poliovirus receptor related protein 2	530	o351-373i	o(1-351=351) i(373-530=158)	NYT(128)/o NGT(138)/o NTT(315)/o 
IPI00606550	"Ig gamma-2B chain C region, membrane-bound form	404	o351-373i	o(1-351=351) i(373-404=32)	NST(185)/o 
IPI00131116	EGF-like module containing mucin-like hormone receptor-like 4	689	o349-371i378-400o415-437i458-475o498-520i541-563o573-595i	o(1-349=349) i(371-378=8) o(400-415=16) i(437-458=22) o(475-498=24) i(520-541=22) o(563-573=11) i(595-689=95)	NNT(203)/o 
IPI00410985	Nectin-like molecule 	417	o349-371i	o(1-349=349) i(371-417=47)	NVS(116)/o 
IPI00177179	"10 days neonate cerebellum cDNA, RIKEN full-length enriched library, clone:6530403D23 product:SIMILAR TO TUMOR-ASSOCIATED ANTIGEN 1 homolog	408	o348-370i	o(1-348=348) i(370-408=39)	NGS(184)/o 
IPI00113350	Cannabinoid receptor 	347	o34-59i72-94o104-126i150-172o192-214i247-269o279-301i	o(1-34=34) i(59-72=14) o(94-104=11) i(126-150=25) o(172-192=21) i(214-247=34) o(269-279=11) i(301-347=47)	NGS(11)/o 
IPI00308213	"Ig gamma-1 chain C region, membrane-bound form	393	o340-362i	o(1-340=340) i(362-393=32)	NST(174)/o 
IPI00453537	"10 days neonate cortex cDNA, RIKEN full-length enriched library, clone:A830029E02 product:weakly similar to BK134P22.1	404	o336-358i	o(1-336=336) i(358-404=47)	NAT(220)/o NKT(296)/o NGT(300)/o NTS(60)/o 
IPI00469000	Zinc transporter SLC39A6	765	o334-356i363-385o435-454i667-689o694-713i733-755o	o(1-334=334) i(356-363=8) o(385-435=51) i(454-667=214) o(689-694=6) i(713-733=21) o(755-765=133)	NTT(275)/o NDS(68)/o 
IPI00318993	L-selectin	387	o333-355i	o(1-333=333) i(355-387=33)	NCS(226)/o NCS(288)/o 
IPI00118020	Nectin-like protein 	396	o327-349i	o(1-327=327) i(349-396=48)	NKS(288)/o 
IPI00124987	Granulocyte-macrophage colony-stimulating factor receptor alpha chain	388	o326-348i	o(1-326=326) i(348-388=41)	NST(165)/o 
IPI00127674	Olfactory receptor MOR264-	314	o32-54i67-89o104-126i202-224o244-266i279-298o	o(1-32=32) i(54-67=14) o(89-104=16) i(126-202=77) o(224-244=21) i(266-279=14) o(298-314=17)	NTS(48)/m 
IPI00153840	Membrane glycoprotei	388	o324-346i	o(1-324=324) i(346-388=43)	NGT(67)/o NGT(286)/o 
IPI00623136	Brain epsilon-sarcoglyca	451	o317-339i	o(1-317=317) i(339-451=113)	NIT(200)/o 
IPI00652675	"Visual cortex cDNA, RIKEN full-length enriched library, clone:K230301B18 product:limbic system-associated membrane protein, full insert sequence	338	o313-335i	o(1-313=313) i(335-338=4)	NAS(300)/o 
IPI00380296	O-acetyltransferas	797	o311-333i361-383o396-415i436-458o485-507i514-536o546-568i605-624o639-658i695-717o727-749i770-792o	o(1-311=311) i(333-361=29) o(383-396=14) i(415-436=22) o(458-485=28) i(507-514=8) o(536-546=11) i(568-605=38) o(624-639=16) i(658-695=38) o(717-727=11) i(749-770=22) o(792-797=8)	NGS(175)/o 
IPI00474787	"MRNA, . 	362	o308-330i	o(1-308=308) i(330-362=33)	NQS(110)/o 
IPI00378224	Disulfide isomeras	344	o305-324i	o(1-305=305) i(324-344=21)	NVT(165)/o NFT(171)/o 
IPI00110325	Lysophosphatidic acid receptor Edg-	354	o30-52i65-87o102-124i145-167o187-209i240-262o277-295i	o(1-30=30) i(52-65=14) o(87-102=16) i(124-145=22) o(167-187=21) i(209-240=32) o(262-277=16) i(295-354=60)	NRS(15)/o 
IPI00136348	Histamine H1 recepto	488	o30-52i64-86o101-123i144-166o192-214i418-440o450-472i	o(1-30=30) i(52-64=13) o(86-101=16) i(123-144=22) o(166-192=27) i(214-418=205) o(440-450=11) i(472-488=17)	NTS(5)/o 
IPI00320065	T-cell surface glycoprotein CD1d1	336	o304-326i	o(1-304=304) i(326-336=11)	NDT(183)/o 
IPI00408895	Trans-Golgi network integral membrane protein 1	353	o300-319i	o(1-300=300) i(319-353=35)	NET(110)/o 
IPI00321222	DAMP-1 protei	172	o29-51i	o(1-29=29) i(51-172=122)	NTT(70)/i 
IPI00169554	Sodium/glucose cotransporter KST	673	o29-46i66-88o103-125i145-167o177-199i206-228o269-286i307-329o375-397i418-440o450-472i479-501o521-543i653-672o	o(1-29=29) i(46-66=21) o(88-103=16) i(125-145=21) o(167-177=11) i(199-206=8) o(228-269=42) i(286-307=22) o(329-375=47) i(397-418=22) o(440-450=11) i(472-479=8) o(501-521=21) i(543-653=111) o(672-673=64)	NSS(247)/o 
IPI00229839	Splice Isoform 1 of SID1 transmembrane family member 2	832	o293-315i448-470o499-521i547-569o604-626i633-655o714-733i746-768o798-817i	o(1-293=293) i(315-448=134) o(470-499=30) i(521-547=27) o(569-604=36) i(626-633=8) o(655-714=60) i(733-746=14) o(768-798=31) i(817-832=16)	NTT(165)/o NHT(54)/o 
IPI00114788	B-lymphocyte antigen CD19	547	o288-310i	o(1-288=288) i(310-547=238)	NVS(220)/o NLT(263)/o 
IPI00133257	Splice Isoform Long of Hematopoietic progenitor cell antigen CD34	382	o287-309i	o(1-287=287) i(309-382=74)	NST(246)/o 
IPI00221706	Osteopetrosis associated transmembrane protein 1	338	o287-309i	o(1-287=287) i(309-338=30)	NTS(139)/o 
IPI00114063	Niemann-Pick C1-like protein 1	1333	o283-305i348-370o633-655i668-687o697-719i740-762o772-794i848-870o1114-1133i1140-1162o1167-1186i1207-1229o1244-1266i	o(1-283=283) i(305-348=44) o(370-633=264) i(655-668=14) o(687-697=11) i(719-740=22) o(762-772=11) i(794-848=55) o(870-1114=245) i(1133-1140=8) o(1162-1167=6) i(1186-1207=22) o(1229-1244=16) i(1266-1333=68)	NDT(85)/o NIS(53)/o 
IPI00223769	"NOD-derived CD11c +ve dendritic cells cDNA, RIKEN full-length enriched library, clone:F630028L24 product:CD44 antigen, full insert sequence	365	o273-295i	o(1-273=273) i(295-365=71)	NST(61)/o NVT(29)/o 
IPI00132600	Niemann-Pick C1 protein	1278	o270-292i354-376o622-644i657-679o684-706i727-749o764-786i1078-1095o1099-1118i1125-1147o1194-1216i1229-1251o	o(1-270=270) i(292-354=63) o(376-622=247) i(644-657=14) o(679-684=6) i(706-727=22) o(749-764=16) i(786-1078=293) o(1095-1099=5) i(1118-1125=8) o(1147-1194=48) i(1216-1229=14) o(1251-1278=130)	NLT(599)/o NVT(962)/i NAS(969)/i 
IPI00115854	TROP2 protei	317	o269-291i	o(1-269=269) i(291-317=27)	NHS(162)/o 
IPI00129968	Embigin	330	o267-289i	o(1-267=267) i(289-330=42)	NLS(55)/o NTT(118)/o NGS(216)/o NET(221)/o 
IPI00126303	"H-2 class I histocompatibility antigen, K-Q alpha chain	328	o265-287i	o(1-265=265) i(287-328=42)	NQS(67)/o 
IPI00109919	T3 olfactory recepto	315	o26-48i61-83o98-120i140-162o204-226i238-260o275-292i	o(1-26=26) i(48-61=14) o(83-98=16) i(120-140=21) o(162-204=43) i(226-238=13) o(260-275=16) i(292-315=24)	NST(5)/o 
IPI00115482	Sodium/bile acid cotransporte	362	o26-48i60-79o119-141i154-176o191-210i222-244o282-304i	o(1-26=26) i(48-60=13) o(79-119=41) i(141-154=14) o(176-191=16) i(210-222=13) o(244-282=39) i(304-362=59)	NFS(11)/o 
IPI00553259	"Adult male colon cDNA, RIKEN full-length enriched library, clone:9030416A10 product:solute carrier family 5, member 1, full insert sequence	665	o26-48i55-77o104-126i147-169o179-201i208-227o274-291i312-334o380-402i423-445o455-477i484-506o526-548i641-663o	o(1-26=26) i(48-55=8) o(77-104=28) i(126-147=22) o(169-179=11) i(201-208=8) o(227-274=48) i(291-312=22) o(334-380=47) i(402-423=22) o(445-455=11) i(477-484=8) o(506-526=21) i(548-641=94) o(663-665=66)	NFT(248)/o 
IPI00126267	Olfactory receptor MOR256-	309	o25-47i59-81o96-118i138-160o197-219i239-261o271-290i	o(1-25=25) i(47-59=13) o(81-96=16) i(118-138=21) o(160-197=38) i(219-239=21) o(261-271=11) i(290-309=20)	NSS(3)/o 
