CDS ID	Protein
C02B10.3	
C02B10.3	
C02B10.3	
C02B10.3	
C02C6.3	Leucine Rich Repeat (2 copies)
C02C6.3	Leucine Rich Repeat (2 copies)
C02C6.3	Leucine Rich Repeat (2 copies)
C02F12.5	homeobox ; tissue factor pathway inhibitor
C02F12.5	homeobox ; tissue factor pathway inhibitor
C02F12.5	homeobox ; tissue factor pathway inhibitor
C02F5.13	
C03A3.2	
C03E10.4	"locus:gly-20 UDP-GlcNAc:a-6-D- mannoside b1,2-N- acetylglucosaminyltransferase II"
C03G6.18	locus:srp-5 serine protease inhibitor
C03G6.19	locus:srp-6 serine protease inhibitor
C03G6.19	locus:srp-6 serine protease inhibitor
C03G6.19	locus:srp-6 serine protease inhibitor
C03G6.19	locus:srp-6 serine protease inhibitor
C03G6.5	
C03G6.5	
C03G6.5	
C03G6.5	
C03G6.5	
C04E12.4	
C04F1.2	monooxygenase
C04F5.1	locus:sid-1
C04F5.3	
C04F6.1	locus:vit-5
C04F6.1	locus:vit-5
C04F6.1	locus:vit-5
C04F6.1	locus:vit-5
C04F6.1	locus:vit-5
C04F6.1	locus:vit-5
C04F6.3	locus:cht-1 glycosyl hydrolase (family 18)
C04F6.3	locus:cht-1 glycosyl hydrolase (family 18)
C05D12.1	
C05D12.1	
C05D12.1	
C05D12.2	EGF domains
C05D12.2	EGF domains
C05D12.2	EGF domains
C05D2.1a	locus:daf-4
C05D2.1a	locus:daf-4
C05D2.1a	locus:daf-4
C05D2.1a	locus:daf-4
C05D2.1a	locus:daf-4
C05D2.1a	locus:daf-4
C05D2.1a	locus:daf-4
C05D2.1d	locus:daf-4
C05D2.1d	locus:daf-4
C05D2.1d	locus:daf-4
C05D2.1d	locus:daf-4
C05D2.1d	locus:daf-4
C05D2.1d	locus:daf-4
C05D2.1d	locus:daf-4
C05D9.3	
C05D9.3	
C05D9.3	
C05D9.3	
C05D9.3	
C05D9.3	
C05D9.3	
C05D9.3	
C05D9.3	
C05D9.3	
C05E4.3	locus:srp-1 serine protease inhibitor
C05E4.3	locus:srp-1 serine protease inhibitor
C05E4.3	locus:srp-1 serine protease inhibitor
C05E4.3	locus:srp-1 serine protease inhibitor
C05E4.3	locus:srp-1 serine protease inhibitor
C05E4.3	locus:srp-1 serine protease inhibitor
C05E4.3	locus:srp-1 serine protease inhibitor
C05E4.3	locus:srp-1 serine protease inhibitor
C05E4.3	locus:srp-1 serine protease inhibitor
C05E4.3	locus:srp-1 serine protease inhibitor
C05E4.3	locus:srp-1 serine protease inhibitor
C05E4.3	locus:srp-1 serine protease inhibitor
C05E4.3	locus:srp-1 serine protease inhibitor
C06A6.5	
C06A6.5	
C06B8.2a	
C06B8.2b	
C06B8.7	Human M130 antigen like protein
C06E8.5	bacterial permeability-increasing protein
C06G1.1	
C06G8.2	locus:opt-1 oligopeptide transporter
C06G8.2	locus:opt-1 oligopeptide transporter
C06G8.2	locus:opt-1 oligopeptide transporter
C06H5.7	
C06H5.7	
C06H5.7	
C06H5.7	
C07A12.4a CE03972	locus:pdi-2 protein disulfide isomerase
C07A12.4b CE31878	locus:pdi-2
C07F11.1	locus:tol-1
C07F11.1	locus:tol-1
C07F11.1	locus:tol-1
C07F11.1	locus:tol-1
C07F11.1	locus:tol-1
C07F11.1	locus:tol-1
C07G3.10	
C07G3.9	
C07G3.9	
C07G3.9	
C08B11.4	locus:nrf-6
C08B11.4	locus:nrf-6
C08B11.4	locus:nrf-6
C08F11.1	
C08F11.11 CE17388	
C08F11.11 CE17388	
C08F11.11 CE17388	
C08F11.8	UDP-glucoronosyl and UDP-glucosyl transferases
C08H9.1	serine carboxypeptidase locus:ptp-3 protein-tyrosine
C09D8.1a	phosphatase with fibronectin type III- like domains (DPTP and Llocus:ptp-3 protein-tyrosine
C09D8.1a	
C09D8.1b	phosphatase with fibronectin type III- like domains (DPTP and Llocus:ptp-3 protein-tyrosine
C09D8.1c	
C09F9.2	
C10H11.4	
C10H11.6	
C11E4.1	glutathione peroxidase
C13B4.1	
C14A4.12b CE02141	
C14A4.3	
C14A4.3	
C14B1.9	
C14B1.9	
C15C8.3	cathepsin-like protease
C15F1.2	
C15H9.4	
C16D9.2a	locus:rol-3 tyrosine-protein kinase
C16D9.2c	locus:rol-3
C16D9.6	
C16E9.1	
C16E9.1	
C17B7.2	
C17B7.2	
C17B7.2	
C17B7.2	
C17B7.2	
C17B7.8	
C17D12.3	
C17D12.3	
C17D12.3	
C17E4.9	sodium /potassium transporting ATPase beta chain
C17E4.9	sodium /potassium transporting ATPase beta chain
C17E4.9	sodium /potassium transporting ATPase beta chain
C17E4.9	sodium /potassium transporting ATPase beta chain
C17E4.9	sodium /potassium transporting ATPase beta chain
C17F4.7	
C17G1.2	
C17G1.2	
C18A11.3	
C18B12.4	"Zinc finger, C3HC4 type (RING finger)"
C18B12.4	"Zinc finger, C3HC4 type (RING finger)"
C18C4.3	UDP-glucuronosyltransferase
C18C4.3	UDP-glucuronosyltransferase
C18E9.11a CE28283	locus:ooc-5
C18E9.11a CE28283	locus:ooc-5
C18E9.11b CE28284	locus:ooc-5
C18E9.11b CE28284	locus:ooc-5
C18F3.2	locus:sax-7 neural adhesion protein
C18F3.2	locus:sax-7 neural adhesion protein
C23H3.2a	
C23H3.2a	
C23H3.2a	
C23H3.2b	
C23H3.2b	
C23H3.2b	
C24A3.6	locus:twk-18 potassium channel protein
C24A3.6	
C24A3.6	locus:twk-18 potassium channel protein
C24A3.6	locus:twk-18 potassium channel protein
C24A3.6	locus:twk-18 potassium channel protein
C24A3.6	locus:twk-18 potassium channel protein
C24A3.6	locus:twk-18 potassium channel protein
C24A3.6	locus:twk-18 potassium channel protein
C24A3.6	locus:twk-18 potassium channel protein
C24A3.6	locus:twk-18 potassium channel protein
C24A3.6	locus:twk-18 potassium channel protein
C24G6.2a	protein kinase
C24G6.2a	protein kinase
C24G6.6	
C25A1.8	lectin
C25A1.8	lectin
C25A1.8	lectin
C25A1.8	lectin
C25A1.8	lectin
C25A1.8	lectin
C25A1.8	lectin
C25A8.4	
C25A8.4	
C25A8.4	
C25A8.4	
C25A8.4	
C25A8.4	
C25A8.4	
C25A8.4	
C25A8.4	
C25A8.4	
C25A8.4	
C25A8.4	
C25A8.4	
C25A8.4	
C25B8.3a	locus:cpr-6
C25B8.3a	locus:cpr-6
C25B8.3a	locus:cpr-6
C25B8.3a	locus:cpr-6
C25B8.3b	locus:cpr-6
C25B8.3b	locus:cpr-6
C25B8.3b	locus:cpr-6
C25B8.3b	locus:cpr-6
C25B8.4a	asialoglycoprotein receptor
C25B8.4b	
C25F6.7a	
C25F6.7b	
C25G4.10	fibronectin
C25G4.10	fibronectin
C25G4.10	fibronectin
C25G4.10	fibronectin
C25G4.10	fibronectin
C25G4.10	fibronectin
C25G4.10	fibronectin
C25G4.10	fibronectin
C25G4.10	fibronectin
C25G4.10	fibronectin
C25G4.10	fibronectin
C25G4.10	fibronectin
C25G4.10	fibronectin
C25G4.10	fibronectin
C25G4.10	fibronectin
C25G4.10	fibronectin
C25G4.10	fibronectin
C25G4.11	
C25G4.11	
C25G4.11	
C25G4.11	
C25G4.11	
C26B9.5	lysosomal Pro-X carboxypeptidase
C26G2.1	Immunoglobulin domain ; Fibronectin type III domain
C26G2.1	Immunoglobulin domain ; Fibronectin type III domain
C26G2.1	Immunoglobulin domain ; Fibronectin type III domain
C26G2.1	Immunoglobulin domain ; Fibronectin type III domain
C26G2.1	Immunoglobulin domain ; Fibronectin type III domain
C27A7.1	Human plasma-cell membrane glycoprotein PC-1 like 
C27A7.1	Human plasma-cell membrane glycoprotein PC-1 like
C27A7.1	Human plasma-cell membrane glycoprotein PC-1 like
C27A7.1	Human plasma-cell membrane glycoprotein PC-1 like
C27A7.1	Human plasma-cell membrane glycoprotein PC-1 like
C27B7.7	fibronectin type-III repeats
C27B7.7	fibronectin type-III repeats
C27B7.7	fibronectin type-III repeats
C27B7.7	fibronectin type-III repeats
C27C12.7	locus:dpf-2 dipeptidyl aminopeptidase like
C27C12.7	locus:dpf-2 dipeptidyl aminopeptidase like
C27C12.7	locus:dpf-2 dipeptidyl aminopeptidase like
C27C12.7	locus:dpf-2 dipeptidyl aminopeptidase like
C27F2.8	
C27F2.8	
C27F2.8	
C27F2.9	
C29F3.7	
C29G2.6	
C31C9.1a	apical gut membrane protein
C31C9.1a	apical gut membrane protein
C31C9.1b	
C31C9.1b	
C31H1.5	
C33C12.3	glucosylceramidase
C33G3.4	beta-mannosidase
C33G3.4	beta-mannosidase
C34E7.4	
C34G6.6a	
C34G6.6a	
C34G6.6a	
C34G6.6a	
C34G6.6a	
C34G6.6a	
C34G6.6a	
C34G6.6b	
C34G6.6b	
C34G6.6b	
C34G6.6b	
C34G6.6b	
C34G6.6b	
C34G6.6b	
C34H4.3	
C35A5.6	
C35A5.6	
C35A5.6	
C35A5.6	
C35A5.6	
C35A5.6	
C35A5.6	
C35A5.6	
C35A5.6	
C35A5.6	
C35A5.6	
C35A5.6	
C35A5.6	
C36B1.1a	locus:cle-1 cle-1 isoform A
C36B1.1a	locus:cle-1 cle-1 isoform A
C36B1.1a	locus:cle-1 cle-1 isoform A
C36B1.1a	locus:cle-1 cle-1 isoform A
C36B1.1a	locus:cle-1 cle-1 isoform A
C36B1.1a	locus:cle-1 cle-1 isoform A
C36B1.1b	locus:cle-1 cle-1 isoform B
C36B1.1b	locus:cle-1 cle-1 isoform B
C36B1.1b	locus:cle-1 cle-1 isoform B
C36B1.1b	locus:cle-1 cle-1 isoform B
C36B1.1b	locus:cle-1 cle-1 isoform B
C36B1.1b	locus:cle-1 cle-1 isoform B
C36B1.1c	locus:cle-1 cle-1 isoform C
C36B1.1c	locus:cle-1 cle-1 isoform C
C36B1.1c	locus:cle-1 cle-1 isoform C
C36B1.1c	locus:cle-1 cle-1 isoform C
C36B1.1c	locus:cle-1 cle-1 isoform C
C36B1.1d	locus:cle-1 collagen
C36B1.1d	locus:cle-1 collagen
C36B1.1d	locus:cle-1 collagen
C36B1.1d	locus:cle-1 collagen
C36B1.1d	locus:cle-1 collagen
C36B1.1d	locus:cle-1 collagen
C36C5.12	
C36C5.12	
C36C5.5	
C36E8.3	
C37C3.6a	protease inhibitor
C37C3.6a	protease inhibitor
C37C3.6a	protease inhibitor
C37C3.6a	protease inhibitor
C37C3.6a	protease inhibitor
C37C3.6a	protease inhibitor
C37C3.6a	protease inhibitor
C37C3.6a	protease inhibitor
C37C3.6a	protease inhibitor
C37C3.6a	protease inhibitor
C37C3.6a	protease inhibitor
C37C3.6a	protease inhibitor
C37C3.6a	protease inhibitor
C37C3.6a	protease inhibitor
C37C3.6a	protease inhibitor
C37C3.6a	protease inhibitor
C37C3.6a	protease inhibitor
C37C3.6a	protease inhibitor
C37C3.6a	protease inhibitor
C37C3.6a	protease inhibitor
C37C3.6a	protease inhibitor
C37C3.6a	protease inhibitor
C37C3.6a	protease inhibitor
C37C3.6a	protease inhibitor
C37C3.6a	protease inhibitor
C37C3.6a	protease inhibitor
C37C3.6a	protease inhibitor
C37C3.6a	protease inhibitor
C37C3.6a	protease inhibitor
C37C3.6a	protease inhibitor
C37C3.6b	protease inhibitor
C37C3.6b	protease inhibitor
C37C3.6b	protease inhibitor
C37C3.6b	protease inhibitor
C37C3.6b	protease inhibitor
C37C3.6b	protease inhibitor
C37C3.6b	protease inhibitor
C37C3.6b	protease inhibitor
C37C3.6b	protease inhibitor
C37C3.6b	protease inhibitor
C37C3.6b	protease inhibitor
C37C3.6b	protease inhibitor
C37C3.6b	protease inhibitor
C37C3.6b	protease inhibitor
C37C3.6b	protease inhibitor
C37C3.6b	protease inhibitor
C37C3.6b	protease inhibitor
C37C3.6b	protease inhibitor
C37C3.6b	protease inhibitor
C37C3.6b	protease inhibitor
C37C3.6b	protease inhibitor
C37C3.6b	protease inhibitor
C37C3.6b	protease inhibitor
C37C3.6b	protease inhibitor
C37C3.6b	protease inhibitor
C37C3.6b	protease inhibitor
C37C3.6b	protease inhibitor
C37C3.6b	protease inhibitor
C37C3.6b	protease inhibitor
C37C3.6b	protease inhibitor
C37C3.6b	protease inhibitor
C37C3.6c	
C37C3.6c	
C37C3.6c	
C37C3.6c	
C37C3.6c	
C37C3.6c	
C37C3.6c	
C37C3.6c	
C37C3.6c	
C37C3.6c	
C37C3.6c	
C37C3.6c	
C37C3.6c	
C37C3.6c	
C37C3.6c	
C37C3.6c	
C37C3.6c	
C37C3.6c	
C37C3.6c	
C37C3.6c	
C37C3.6c	
C37C3.6c	
C37C3.6c	
C37C3.6c	
C37C3.6c	
C37C3.6c	
C37C3.6c	
C37C3.6c	
C37C3.6c	
C37C3.6c	
C38C10.2	Sodium /phosphate transporter
C38C6.2	locus:atg-2 Alpha amylase
C38C6.2	locus:atg-2 Alpha amylase
C38C6.2	locus:atg-2 Alpha amylase
C38C6.2	locus:atg-2 Alpha amylase
C38C6.2	locus:atg-2 Alpha amylase
C38C6.2	locus:atg-2 Alpha amylase
C38C6.2	locus:atg-2 Alpha amylase
C38D4.1a	
C38D4.1b	
C39B5.5	
C40C9.5a	Carboxylesterases (2 domains)
C40C9.5b	Carboxylesterases (2 domains)
C40H1.7	
C41C4.5	locus:unc-105 Amiloride-sensitive sodium channel locus:unc-105 Amiloride-sensitive
C41C4.5	locus:unc-105 Amiloride-sensitive sodium channel locus:unc-105 Amiloride-sensitive
C41G11.1	
C41G11.1	
C41G11.1	
C41G11.1	
C41G11.4a	G-protein coupled receptor
C41G11.4a	G-protein coupled receptor
C41G11.4b	
C41G11.4b	
C41G11.4c CE35428	
C41G11.4c CE35428	
C42D8.2	locus:vit-2 vitellogenin
C42D8.2	locus:vit-2 vitellogenin
C42D8.2	locus:vit-2 vitellogenin
C42D8.2	locus:vit-2 vitellogenin
C42D8.2	locus:vit-2 vitellogenin
C42D8.2	locus:vit-2 vitellogenin
C42D8.2	locus:vit-2 vitellogenin
C42D8.2	locus:vit-2 vitellogenin
C42D8.2	locus:vit-2 vitellogenin
C42D8.5	locus:acn-1 peptidase
C42D8.5	locus:acn-1 peptidase
C42D8.8a	locus:apl-1
C42D8.8a	locus:apl-1
C42D8.8a	locus:apl-1
C42D8.8b	locus:apl-1
C42D8.8b	locus:apl-1
C42D8.8b	locus:apl-1
C43H6.6	
C44B7.11	
C44B7.11	
C44B7.5	
C44B7.5	
C44B7.5	
C44B7.5	
C44B7.5	
C44B7.5	
C44B7.5	
C44B7.5	
C44B7.5	
C44B7.5	
C44B9.3	
C44H4.3	locus:sym-1 Drosophila chaoptin protein like
C44H9.1	UDP-glucuronosyltransferase
C44H9.1	UDP-glucuronosyltransferase
C44H9.5	
C46C2.2	transport protein
C46C2.5	
C47E12.3	alpha-mannosidase
C48B4.4a	locus:ced-7 ATP-binding transport protein
C48B4.4a	locus:ced-7 ATP-binding transport protein
C48B4.4a	locus:ced-7 ATP-binding transport protein
C48B4.4a	locus:ced-7 ATP-binding transport protein
C48B4.4b	locus:ced-7 ABC transporters
C48B4.4b	locus:ced-7 ABC transporters
C48B4.4b	locus:ced-7 ABC transporters
C48B4.4b	locus:ced-7 ABC transporters
C48B4.4c	locus:ced-7 ATP-binding transport protein
C48B4.4c	locus:ced-7 ATP-binding transport protein
C48B4.4c	locus:ced-7 ATP-binding transport protein
C48B4.4c	locus:ced-7 ATP-binding transport protein
C48E7.5	locus:cof-2
C48E7.5	locus:cof-2
C48E7.6	
C48E7.6	
C49C8.5	
C49H3.1	locus:gcy-8 receptor-type guanylyl cyclase
C49H3.1	locus:gcy-8 receptor-type guanylyl cyclase
C49H3.1	locus:gcy-8 receptor-type guanylyl cyclase
C50B8.6	
C50C3.9	locus:unc-36
C50C3.9	locus:unc-36
C50C3.9	locus:unc-36
C50D2.7	
C50H2.3a	locus:mec-9 mechanosensory protein (mec-9)
C51E3.6	Mouse YSPL-1 protein like
C51E3.6	Mouse YSPL-1 protein like
C51E3.6	Mouse YSPL-1 protein like
C51E3.7a	locus:egl-3 prohormone convertase 2
C51E3.7a	locus:egl-3 prohormone convertase 2
C51E3.7a	locus:egl-3 prohormone convertase 2
C52E4.5	"alpha 1,2, mannosidase"
C52E4.5	"alpha 1,2, mannosidase"
C52E4.5	"alpha 1,2, mannosidase"
C52E4.5	"alpha 1,2, mannosidase"
C52G5.2	
C53A5.13	
C53B7.1	locus:rig-3
C53B7.1	locus:rig-3
C53C11.3	locus:ptr-5
C53C11.3	locus:ptr-5
C53D5.5	gamma-glutamyltranspeptidase
C53D5.5	gamma-glutamyltranspeptidase
C53D5.5	gamma-glutamyltranspeptidase
C53D5.5	gamma-glutamyltranspeptidase
C53D5.5	gamma-glutamyltranspeptidase
C53D5.5	gamma-glutamyltranspeptidase
C53D5.5	gamma-glutamyltranspeptidase
C54D1.5	
C54D1.5	
C54D1.5	
C54D1.5	
C54D1.5	
C54D1.5	
C54D1.5	
C54D1.5	
C54D1.5	
C54D1.5	
C54D1.5	
C54D1.5	
C54D1.5	
C54D1.5	
C54D1.5	
C54D1.5	
C54D1.5	
C54D1.5	
C54D1.5	
C54D1.5	
C54D1.5	
C54D10.5	
C55A6.1	"Zinc finger, C3HC4 type (RING finger)"
C55C3.5	
C56E6.6	leucine-rich repeats
C56E6.6	leucine-rich repeats
C56G2.4	
D1022.8	locus:cah-2 Carbonic anhydrase
D1046.5	
D1073.1	tyrosine-protein kinase
D1073.1	tyrosine-protein kinase
D1086.5	
D1086.5	
D1086.8	
D1086.8	
D2024.3	locus:elo-3
E01A2.7	
E02H4.4	
E02H4.4	
E02H4.4	
E04F6.4	V. virus protein K4
E04F6.4	V. virus protein K4
EGAP4.1	
EGAP4.1	
EGAP4.1	
EGAP4.1	
F01D4.4	locus:egl-21 zinc carboxypeptidase
F01D4.4	locus:egl-21 zinc carboxypeptidase
F01E11.1	UDP-glucuronosyltransferase
F02C12.4	
F02D8.4	carboxypeptidase
F02E8.6	locus:ncr-1
F02G3.1a	neural cell adhesion molecule
F02G3.1a	neural cell adhesion molecule
F02G3.1b	
F02G3.1b	
F02G3.1c	
F02G3.1c	
F07A5.3	membrane glycoprotein
F07C6.3	
F08B12.1	
F08B12.1	
F08B12.1	
F08F1.4a	
F08F1.4b	
F08F1.7	locus:tag-123
F08F1.7	locus:tag-123
F08F1.7	locus:tag-123
F09B12.1a CE23633	
F09B12.1b CE23634	
F09B12.3	
F09B12.3	
F09B12.3	
F09B12.3	
F09B12.3	
F09B12.3	
F09C8.1	phospholipase precursor
F09E8.7	locus:lev-1 acetylcholine receptor
F09F9.4	Type I thrombospondin (TSP) repeats
F09G2.8	
F09G2.8	
F09G2.8	
F10D2.2a	glucuronosyltransferase
F10D2.2b	
F10E7.4	F-spondin
F10E7.4	F-spondin
F10E7.4	F-spondin
F10F2.3	lipase (Bacillus subtilis)
F10F2.4	2 leucine rich domains
F10G2.1	
F10G7.11	
F11A5.9	sodium /phosphate transporter
F11C1.3	membrane glycoprotein
F11E6.1a	glucosylceramidase (O-glycosylhydrolase)
F11E6.1a	glucosylceramidase (O-glycosylhydrolase)
F11E6.1a	glucosylceramidase (O-glycosylhydrolase)
F11E6.1a	glucosylceramidase (O-glycosylhydrolase)
F11E6.1a	glucosylceramidase (O-glycosylhydrolase)
F11E6.1a	glucosylceramidase (O-glycosylhydrolase)
F11E6.1b	glucosylceramidase (O-glycosylhydrolase)
F11E6.1b	glucosylceramidase (O-glycosylhydrolase)
F11E6.1b	glucosylceramidase (O-glycosylhydrolase)
F11E6.1b	glucosylceramidase (O-glycosylhydrolase)
F11E6.1b	glucosylceramidase (O-glycosylhydrolase)
F11E6.1b	glucosylceramidase (O-glycosylhydrolase)
F11E6.1c	
F11E6.1c	
F11E6.1c	
F11E6.1c	
F11E6.1c	
F11E6.1c	
F11E6.9	
F11F1.6	
F11F1.6	
F12B6.1	locus:abt-2 abc transporter
F12B6.1	locus:abt-2 abc transporter
F13B12.4	cysteine synthase like
F13B12.4	cysteine synthase like
F13B12.4	cysteine synthase like
F13B6.3	
F13C5.5	
F13C5.5	
F13C5.5	
F13D11.1	histidine acid phosphatase family (weak)
F13D11.1	histidine acid phosphatase family (weak)
F13D2.1	alpha-1-macroglobulin-like domain
F13G11.2	
F13H10.4	
F13H8.3	
F13H8.3	
F14E5.2	cysteine-rich fibroblast growth factor receptor
F14E5.2	cysteine-rich fibroblast growth factor receptor
F14F4.3a	locus:mrp-5 ABC transporter
F14F4.3b	locus:mrp-5
F14F9.5	
F14F9.5	
F14F9.5	
F15B9.6	phospholipase A2
F15E6.2	
F15E6.2	
F15G9.4a	locus:him-4 Ig superfamily repeats (I- type)
F15G9.4a	locus:him-4 Ig superfamily repeats (I- type)
F15G9.4a	
F15G9.4a	locus:him-4 Ig superfamily repeats (I- type)
F15G9.4a	locus:him-4 Ig superfamily repeats (I- type)
F15G9.4a	locus:him-4 Ig superfamily repeats (I- type)
F15G9.4a	locus:him-4 Ig superfamily repeats (I- type)
F15G9.4a	locus:him-4 Ig superfamily repeats (I- type)
F15G9.4a	locus:him-4 Ig superfamily repeats (I- type)
F15G9.4a	locus:him-4 Ig superfamily repeats (I- type)
F15G9.4a	locus:him-4 Ig superfamily repeats (I- type)
F15G9.4a	locus:him-4 Ig superfamily repeats (I- type)
F15G9.4a	locus:him-4 Ig superfamily repeats (I- type)
F15G9.4a	locus:him-4 Ig superfamily repeats (I- type)
F15G9.4a	locus:him-4 Ig superfamily repeats (I- type)
F15G9.4a	locus:him-4 Ig superfamily repeats (I- type)
F15G9.4a	locus:him-4 Ig superfamily repeats (I- type)
F15G9.4a	locus:him-4 Ig superfamily repeats (I- type)
F15G9.4a	locus:him-4 Ig superfamily repeats (I- type)
F15G9.4a	
F15G9.4a	locus:him-4 Ig superfamily repeats (I- type)
F15G9.4a	
F15G9.4a	locus:him-4 Ig superfamily repeats (I- type)
F15G9.4a	
F15G9.4a	locus:him-4 Ig superfamily repeats (I- type)
F15G9.4a	locus:him-4 Ig superfamily repeats (I- type)
F15G9.4a	locus:him-4 Ig superfamily repeats (I- type)
F15G9.4a	locus:him-4 Ig superfamily repeats (I- type)
F15G9.4a	locus:him-4 Ig superfamily repeats (I- type)
F15G9.4a	locus:him-4 Ig superfamily repeats (I- type)
F15G9.4a	locus:him-4 Ig superfamily repeats (I- type)
F15G9.4a	locus:him-4 Ig superfamily repeats (I- type)
F15G9.4a	locus:him-4 Ig superfamily repeats (I- type)
F15G9.4a	locus:him-4 Ig superfamily repeats (I- type)
F15G9.4a	locus:him-4 Ig superfamily repeats (I- type)
F15G9.4a	locus:him-4 Ig superfamily repeats (I- type)
F15G9.4a	locus:him-4 Ig superfamily repeats (I- type)
F15G9.4a	locus:him-4 Ig superfamily repeats (I- type)
F15G9.4a	locus:him-4 Ig superfamily repeats (I- type)
F15G9.4a	locus:him-4 Ig superfamily repeats (I- type)
F15G9.4a	locus:him-4 Ig superfamily repeats (I- type)
F15G9.4a	locus:him-4 Ig superfamily repeats (I- type)
F15G9.4a	locus:him-4 Ig superfamily repeats (I- type)
F15G9.4a	locus:him-4 Ig superfamily repeats (I- type)
F15G9.4a	locus:him-4 Ig superfamily repeats (I- type)
F15G9.4a	locus:him-4 Ig superfamily repeats (I- type)
F15G9.4a	locus:him-4 Ig superfamily repeats (I- type)
F15G9.4a	locus:him-4 Ig superfamily repeats (I- type)
F15G9.4a	locus:him-4 Ig superfamily repeats (I- type)
F15G9.4b	locus:him-4 IG (immunoglobulin) superfamily (47 domains)
F15G9.4b	locus:him-4 IG (immunoglobulin) superfamily (47 domains)
F15G9.4b	locus:him-4 IG (immunoglobulin) superfamily (47 domains)
F15G9.4b	locus:him-4 IG (immunoglobulin) superfamily (47 domains)
F15G9.4b	locus:him-4 IG (immunoglobulin) superfamily (47 domains)
F15G9.4b	locus:him-4 IG (immunoglobulin) superfamily (47 domains)
F15G9.4b	locus:him-4 IG (immunoglobulin) superfamily (47 domains)
F15G9.4b	locus:him-4 IG (immunoglobulin) superfamily (47 domains)
F15G9.4b	locus:him-4 IG (immunoglobulin) superfamily (47 domains)
F15G9.4b	locus:him-4 IG (immunoglobulin) superfamily (47 domains)
F15G9.4b	locus:him-4 IG (immunoglobulin) superfamily (47 domains)
F15G9.4b	locus:him-4 IG (immunoglobulin) superfamily (47 domains)
F15G9.4b	locus:him-4 IG (immunoglobulin) superfamily (47 domains)
F15G9.4b	locus:him-4 IG (immunoglobulin) superfamily (47 domains)
F15G9.4b	locus:him-4 IG (immunoglobulin) superfamily (47 domains)
F15G9.4b	locus:him-4 IG (immunoglobulin) superfamily (47 domains)
F15G9.4b	locus:him-4 IG (immunoglobulin) superfamily (47 domains)
F15G9.4b	locus:him-4 IG (immunoglobulin) superfamily (47 domains)
F15G9.4b	locus:him-4 IG (immunoglobulin) superfamily (47 domains)
F15G9.4b	locus:him-4 IG (immunoglobulin) superfamily (47 domains)
F15G9.4b	locus:him-4 IG (immunoglobulin) superfamily (47 domains)
F15G9.4b	locus:him-4 IG (immunoglobulin) superfamily (47 domains)
F15G9.4b	locus:him-4 IG (immunoglobulin) superfamily (47 domains)
F15G9.4b	locus:him-4 IG (immunoglobulin) superfamily (47 domains)
F15G9.4b	locus:him-4 IG (immunoglobulin) superfamily (47 domains)
F15G9.4b	locus:him-4 IG (immunoglobulin) superfamily (47 domains)
