IPI Accession	Length	TMHMM Topography	Length of the Transmembrane Loop(s)	FirstDomain	LastDomain	FirstDomain.Length	LastDomain.Length	Avg Domain.Out	Avg Domain.In
sp|C7GRY1|ATG33|YEAS2	197	i13-35o55-72i79-101o172-194i	i(1-13=13) o(35-55=21) i(72-79=8) o(101-172=72) i(194-197=4)	i(1-13=13)	i(194-197=4)	13	4	46	8
sp|A7A1N4|ATG33|YEAS7	197	i13-35o55-72i79-101o172-194i	i(1-13=13) o(35-55=21) i(72-79=8) o(101-172=72) i(194-197=4)	i(1-13=13)	i(194-197=4)	13	4	46	8
sp|C8ZDW3|ATG33|YEAS8	197	i13-35o55-72i79-101o172-194i	i(1-13=13) o(35-55=21) i(72-79=8) o(101-172=72) i(194-197=4)	i(1-13=13)	i(194-197=4)	13	4	46	8
sp|Q06485|ATG33|YEAST	197	i13-35o55-72i79-101o172-194i	i(1-13=13) o(35-55=21) i(72-79=8) o(101-172=72) i(194-197=4)	i(1-13=13)	i(194-197=4)	13	4	46	8
sp|Q12359|ATO3|YEAST	275	i85-107o117-139i144-163o178-199i206-228o238-257i	i(1-85=85) o(107-117=11) i(139-144=6) o(163-178=16) i(199-206=8) o(228-238=11) i(257-275=19)	i(1-85=85)	i(257-275=19)	85	19	12	29
sp|P00856|ATP8|YEAST	48	i13-35o	i(1-13=13) o(35-48=14)	i(1-13=13)	o(35-48=14)	13	14	14	13
sp|P61829|ATP9|YEAST	76	i13-35o50-72i	i(1-13=13) o(35-50=16) i(72-76=5)	i(1-13=13)	i(72-76=5)	13	5	16	9
sp|P53194|BRP1|YEAST	125	i60-79o	i(1-60=60) o(79-125=47)	i(1-60=60)	o(79-125=47)	60	47	47	60
sp|P48558|BXI1|YEAST	297	o55-74i86-105o147-166i173-192o207-229i236-254o269-291i	o(1-55=55) i(74-86=13) o(105-147=43) i(166-173=8) o(192-207=16) i(229-236=8) o(254-269=16) i(291-297=7)	o(1-55=55)	i(291-297=7)	55	7	32	9
sp|B3LI56|CBP4|YEAS1	147	o5-27i	o(1-5=5) i(27-147=121)	o(1-5=5)	i(27-147=121)	5	121	5	121
sp|C7GT24|CBP4|YEAS2	147	o5-27i	o(1-5=5) i(27-147=121)	o(1-5=5)	i(27-147=121)	5	121	5	121
sp|A6ZUI6|CBP4|YEAS7	147	o5-27i	o(1-5=5) i(27-147=121)	o(1-5=5)	i(27-147=121)	5	121	5	121
sp|C8Z970|CBP4|YEAS8	147	o5-27i	o(1-5=5) i(27-147=121)	o(1-5=5)	i(27-147=121)	5	121	5	121
sp|P37267|CBP4|YEAST	147	o5-27i	o(1-5=5) i(27-147=121)	o(1-5=5)	i(27-147=121)	5	121	5	121
sp|P00431|CCPR|YEAST	361	i20-37o	i(1-20=20) o(37-361=325)	i(1-20=20)	o(37-361=325)	20	325	325	20
sp|P41733|CDC91|YEAST	394	i136-158o162-184i191-213o223-245i252-274o301-318i325-344o354-376i	i(1-136=136) o(158-162=5) i(184-191=8) o(213-223=11) i(245-252=8) o(274-301=28) i(318-325=8) o(344-354=11) i(376-394=19)	i(1-136=136)	i(376-394=19)	136	19	13	35
sp|Q3E823|COA2|YEAST	68	i13-35o	i(1-13=13) o(35-68=34)	i(1-13=13)	o(35-68=34)	13	34	34	13
sp|B3LQ47|COA3|YEAS1	85	i27-49o	i(1-27=27) o(49-85=37)	i(1-27=27)	o(49-85=37)	27	37	37	27
sp|C7GR49|COA3|YEAS2	85	i27-49o	i(1-27=27) o(49-85=37)	i(1-27=27)	o(49-85=37)	27	37	37	27
sp|A6ZPQ9|COA3|YEAS7	85	i27-49o	i(1-27=27) o(49-85=37)	i(1-27=27)	o(49-85=37)	27	37	37	27
sp|C8ZBF1|COA3|YEAS8	85	i27-49o	i(1-27=27) o(49-85=37)	i(1-27=27)	o(49-85=37)	27	37	37	27
sp|Q3E7B2|COA3|YEAST	85	i27-49o	i(1-27=27) o(49-85=37)	i(1-27=27)	o(49-85=37)	27	37	37	27
sp|P32378|COQ2|YEAST	372	i115-137o188-210i223-245o302-324i345-367o	i(1-115=115) o(137-188=52) i(210-223=14) o(245-302=58) i(324-345=22) o(367-372=6)	i(1-115=115)	o(367-372=6)	115	6	38	50
sp|P53822|COS1|YEAST	381	i46-63o73-95i233-255o261-283i	i(1-46=46) o(63-73=11) i(95-233=139) o(255-261=7) i(283-381=99)	i(1-46=46)	i(283-381=99)	46	99	9	94
sp|P0CX12|COS2|YEAST	379	i46-63o73-95i233-255o259-281i	i(1-46=46) o(63-73=11) i(95-233=139) o(255-259=5) i(281-379=99)	i(1-46=46)	i(281-379=99)	46	99	8	94
sp|P0CX13|COS3|YEAST	379	i46-63o73-95i233-255o259-281i	i(1-46=46) o(63-73=11) i(95-233=139) o(255-259=5) i(281-379=99)	i(1-46=46)	i(281-379=99)	46	99	8	94
sp|P43542|COS4|YEAST	379	i46-63o69-91i233-255o259-281i	i(1-46=46) o(63-69=7) i(91-233=143) o(255-259=5) i(281-379=99)	i(1-46=46)	i(281-379=99)	46	99	6	96
sp|P47187|COS5|YEAST	383	i34-56o71-93i228-246o256-275i	i(1-34=34) o(56-71=16) i(93-228=136) o(246-256=11) i(275-383=109)	i(1-34=34)	i(275-383=109)	34	109	13	93
sp|P53344|COS6|YEAST	381	i46-63o69-91i233-251o256-270i	i(1-46=46) o(63-69=7) i(91-233=143) o(251-256=6) i(270-381=112)	i(1-46=46)	i(270-381=112)	46	112	6	100
sp|P32799|COX13|YEAST	129	i51-73o	i(1-51=51) o(73-129=57)	i(1-51=51)	o(73-129=57)	51	57	57	51
sp|P39103|COX14|YEAST	70	o15-37i	o(1-15=15) i(37-70=34)	o(1-15=15)	i(37-70=34)	15	34	15	34
sp|P47081|COX16|YEAST	118	o33-55i	o(1-33=33) i(55-118=64)	o(1-33=33)	i(55-118=64)	33	64	33	64
sp|P00420|COX3|YEAST	269	i21-40o44-66i87-109o138-160i167-189o204-226i246-268o	i(1-21=21) o(40-44=5) i(66-87=22) o(109-138=30) i(160-167=8) o(189-204=16) i(226-246=21) o(268-269=2)	i(1-21=21)	o(268-269=2)	21	2	13	18
sp|P00424|COX5A|YEAST	153	i93-115o	i(1-93=93) o(115-153=39)	i(1-93=93)	o(115-153=39)	93	39	39	93
sp|P10174|COX7|YEAST	60	o27-49i	o(1-27=27) i(49-60=12)	o(1-27=27)	i(49-60=12)	27	12	27	12
sp|P04039|COX8|YEAST	78	i50-72o	i(1-50=50) o(72-78=7)	i(1-50=50)	o(72-78=7)	50	7	7	50
sp|P07255|COX9|YEAST	59	o15-37i	o(1-15=15) i(37-59=23)	o(1-15=15)	i(37-59=23)	15	23	15	23
sp|Q08955|CSM4|YEAST	156	i132-154o	i(1-132=132) o(154-156=3)	i(1-132=132)	o(154-156=3)	132	3	3	132
sp|Q04201|CUE4|YEAST	117	o5-22i	o(1-5=5) i(22-117=96)	o(1-5=5)	i(22-117=96)	5	96	5	96
sp|P00163|CYB|YEAST	385	o33-55i76-98o113-135i142-164o179-201i224-246o289-307i320-342o357-379i	o(1-33=33) i(55-76=22) o(98-113=16) i(135-142=8) o(164-179=16) i(201-224=24) o(246-289=44) i(307-320=14) o(342-357=16) i(379-385=7)	o(1-33=33)	i(379-385=7)	33	7	25	15
sp|P38307|DER1|YEAST	211	i13-35o55-77i94-116o143-165i	i(1-13=13) o(35-55=21) i(77-94=18) o(116-143=28) i(165-211=47)	i(1-13=13)	i(165-211=47)	13	47	24	26
sp|P37298|DHSD|YEAST	181	i74-96o132-149i	i(1-74=74) o(96-132=37) i(149-181=33)	i(1-74=74)	i(149-181=33)	74	33	37	53
sp|P14020|DPM1|YEAST	267	o244-266i	o(1-244=244) i(266-267=2)	o(1-244=244)	i(266-267=2)	244	2	244	2
sp|Q05521|DPP1|YEAST	289	i21-38o65-87i92-114o201-218i225-247o	i(1-21=21) o(38-65=28) i(87-92=6) o(114-201=88) i(218-225=8) o(247-289=43)	i(1-21=21)	o(247-289=43)	21	43	53	11
sp|P33413|DUR3|YEAST	735	o13-35i54-76o86-108i135-157o162-184i191-213o254-276i296-318o338-360i397-419o424-446i453-475o495-517i619-638o653-675i	o(1-13=13) i(35-54=20) o(76-86=11) i(108-135=28) o(157-162=6) i(184-191=8) o(213-254=42) i(276-296=21) o(318-338=21) i(360-397=38) o(419-424=6) i(446-453=8) o(475-495=21) i(517-619=103) o(638-653=16) i(675-735=61)	o(1-13=13)	i(675-735=61)	13	61	17	35
sp|P39540|ELO1|YEAST	310	o64-83i96-118o191-213i233-255o270-292i	o(1-64=64) i(83-96=14) o(118-191=74) i(213-233=21) o(255-270=16) i(292-310=19)	o(1-64=64)	i(292-310=19)	64	19	51	18
sp|P40540|EMC5|YEAST	141	i7-29o49-68i	i(1-7=7) o(29-49=21) i(68-141=74)	i(1-7=7)	i(68-141=74)	7	74	21	40
sp|P32803|EMP24|YEAST	203	o4-26i171-193o	o(1-4=4) i(26-171=146) o(193-203=11)	o(1-4=4)	o(193-203=11)	4	11	7	146
sp|Q12396|EMP46|YEAST	444	i29-46o413-432i	i(1-29=29) o(46-413=368) i(432-444=13)	i(1-29=29)	i(432-444=13)	29	13	368	21
sp|P43555|EMP47|YEAST	445	o414-433i	o(1-414=414) i(433-445=13)	o(1-414=414)	i(433-445=13)	414	13	414	13
sp|Q08299|ENB1|YEAST	606	i131-153o187-209i222-244o281-303i310-329o357-379i391-410o415-434i441-463o478-500i552-574o	i(1-131=131) o(153-187=35) i(209-222=14) o(244-281=38) i(303-310=8) o(329-357=29) i(379-391=13) o(410-415=6) i(434-441=8) o(463-478=16) i(500-552=53) o(574-606=33)	i(1-131=131)	o(574-606=33)	131	33	26	37
sp|P18414|ERD2|YEAST	219	o56-78i99-116o152-174i186-205o	o(1-56=56) i(78-99=22) o(116-152=37) i(174-186=13) o(205-219=15)	o(1-56=56)	o(205-219=15)	56	15	36	17
sp|P40030|ERG28|YEAST	148	i21-43o91-113i	i(1-21=21) o(43-91=49) i(113-148=36)	i(1-21=21)	i(113-148=36)	21	36	49	28
sp|P32352|ERG2|YEAST	222	i3-25o	i(1-3=3) o(25-222=198)	i(1-3=3)	o(25-222=198)	3	198	198	3
sp|Q05359|ERP1|YEAST	219	o5-27i187-206o	o(1-5=5) i(27-187=161) o(206-219=14)	o(1-5=5)	o(206-219=14)	5	14	9	161
sp|Q12403|ERP3|YEAST	225	o195-217i	o(1-195=195) i(217-225=9)	o(1-195=195)	i(217-225=9)	195	9	195	9
sp|Q12450|ERP4|YEAST	207	i173-195o	i(1-173=173) o(195-207=13)	i(1-173=173)	o(195-207=13)	173	13	13	173
sp|P53198|ERP6|YEAST	216	o5-27i184-203o	o(1-5=5) i(27-184=158) o(203-216=14)	o(1-5=5)	o(203-216=14)	5	14	9	158
sp|P53173|ERV14|YEAST	138	i5-27o56-78i109-131o	i(1-5=5) o(27-56=30) i(78-109=32) o(131-138=8)	i(1-5=5)	o(131-138=8)	5	8	19	18
sp|Q12284|ERV2|YEAST	196	i13-35o	i(1-13=13) o(35-196=162)	i(1-13=13)	o(35-196=162)	13	162	162	13
sp|Q04651|ERV41|YEAST	352	o29-51i302-324o	o(1-29=29) i(51-302=252) o(324-352=29)	o(1-29=29)	o(324-352=29)	29	29	29	252
sp|P39727|ERV46|YEAST	415	o376-398i	o(1-376=376) i(398-415=18)	o(1-376=376)	i(398-415=18)	376	18	376	18
sp|P40515|FIS1|YEAST	155	o131-150i	o(1-131=131) i(150-155=6)	o(1-131=131)	i(150-155=6)	131	6	131	6
sp|P40464|FLX1|YEAST	311	i76-98o126-148i182-204o	i(1-76=76) o(98-126=29) i(148-182=35) o(204-311=108)	i(1-76=76)	o(204-311=108)	76	108	68	55
sp|P43557|FMP32|YEAST	207	o184-206i	o(1-184=184) i(206-207=2)	o(1-184=184)	i(206-207=2)	184	2	184	2
sp|Q12438|GLRX6|YEAST	231	i12-34o	i(1-12=12) o(34-231=198)	i(1-12=12)	o(34-231=198)	12	198	198	12
sp|Q03554|GOT1|YEAST	138	i9-28o32-49i66-88o	i(1-9=9) o(28-32=5) i(49-66=18) o(88-138=51)	i(1-9=9)	o(88-138=51)	9	51	28	13
sp|Q04082|GPI19|YEAST	140	i7-29o53-75i	i(1-7=7) o(29-53=25) i(75-140=66)	i(1-7=7)	i(75-140=66)	7	66	25	36
sp|P16474|GRP78|YEAST	682	i7-29o	i(1-7=7) o(29-682=654)	i(1-7=7)	o(29-682=654)	7	654	654	7
sp|P39982|HHY1|YEAST	102	o15-37i66-88o	o(1-15=15) i(37-66=30) o(88-102=15)	o(1-15=15)	o(88-102=15)	15	15	15	30
sp|P48353|HLJ1|YEAST	224	i206-223o	i(1-206=206) o(223-224=2)	i(1-206=206)	o(223-224=2)	206	2	2	206
sp|P32339|HMX1|YEAST	317	o288-310i	o(1-288=288) i(310-317=8)	o(1-288=288)	i(310-317=8)	288	8	288	8
sp|Q12479|IRC11|YEAST	156	o20-42i	o(1-20=20) i(42-156=115)	o(1-20=20)	i(42-156=115)	20	115	20	115
sp|Q6B0V8|IRC16|YEAST	119	i13-35o50-72i89-111o	i(1-13=13) o(35-50=16) i(72-89=18) o(111-119=9)	i(1-13=13)	o(111-119=9)	13	9	12	15
sp|Q08416|IRC23|YEAST	157	i7-29o34-56i	i(1-7=7) o(29-34=6) i(56-157=102)	i(1-7=7)	i(56-157=102)	7	102	6	54
sp|Q06346|KEI1|YEAST	221	i12-31o51-73i80-102o153-175i	i(1-12=12) o(31-51=21) i(73-80=8) o(102-153=52) i(175-221=47)	i(1-12=12)	i(175-221=47)	12	47	36	22
sp|P17260|KRE1|YEAST	313	i13-35o255-277i290-312o	i(1-13=13) o(35-255=221) i(277-290=14) o(312-313=2)	i(1-13=13)	o(312-313=2)	13	2	111	13
sp|P39005|KRE9|YEAST	276	i7-26o	i(1-7=7) o(26-276=251)	i(1-7=7)	o(26-276=251)	7	251	251	7
sp|P38130|KTR3|YEAST	404	i27-44o	i(1-27=27) o(44-404=361)	i(1-27=27)	o(44-404=361)	27	361	361	27
sp|P38131|KTR4|YEAST	464	i12-31o	i(1-12=12) o(31-464=434)	i(1-12=12)	o(31-464=434)	12	434	434	12
sp|B3LT72|LCL2|YEAS1	131	o6-28i	o(1-6=6) i(28-131=104)	o(1-6=6)	i(28-131=104)	6	104	6	104
sp|C7GQS7|LCL2|YEAS2	131	o6-28i	o(1-6=6) i(28-131=104)	o(1-6=6)	i(28-131=104)	6	104	6	104
sp|A7A108|LCL2|YEAS7	131	o6-28i	o(1-6=6) i(28-131=104)	o(1-6=6)	i(28-131=104)	6	104	6	104
sp|C8ZD75|LCL2|YEAS8	131	o6-28i	o(1-6=6) i(28-131=104)	o(1-6=6)	i(28-131=104)	6	104	6	104
sp|Q08045|LCL2|YEAST	131	o6-28i	o(1-6=6) i(28-131=104)	o(1-6=6)	i(28-131=104)	6	104	6	104
sp|A6ZN14|LIP1|YEAS7	150	i21-40o	i(1-21=21) o(40-150=111)	i(1-21=21)	o(40-150=111)	21	111	111	21
sp|Q03579|LIP1|YEAST	150	i21-40o	i(1-21=21) o(40-150=111)	i(1-21=21)	o(40-150=111)	21	111	111	21
sp|Q04396|LPP1|YEAST	274	i17-39o118-140i214-231o236-255i	i(1-17=17) o(39-118=80) i(140-214=75) o(231-236=6) i(255-274=20)	i(1-17=17)	i(255-274=20)	17	20	43	37
sp|Q02889|MGR2|YEAST	113	i21-43o58-77i	i(1-21=21) o(43-58=16) i(77-113=37)	i(1-21=21)	i(77-113=37)	21	37	16	29
sp|P50108|MNN10|YEAST	393	i53-72o	i(1-53=53) o(72-393=322)	i(1-53=53)	o(72-393=322)	53	322	322	53
sp|P46985|MNN11|YEAST	422	i32-51o	i(1-32=32) o(51-422=372)	i(1-32=32)	o(51-422=372)	32	372	372	32
sp|P39107|MNN9|YEAST	395	i13-32o	i(1-13=13) o(32-395=364)	i(1-13=13)	o(32-395=364)	13	364	364	13
sp|P53176|MST27|YEAST	234	o45-67i74-96o	o(1-45=45) i(67-74=8) o(96-234=139)	o(1-45=45)	o(96-234=139)	45	139	92	8
sp|P39552|MST28|YEAST	234	o45-67i74-96o	o(1-45=45) i(67-74=8) o(96-234=139)	o(1-45=45)	o(96-234=139)	45	139	92	8
sp|P38734|MUP3|YEAST	546	i64-86o101-123i144-166o186-208i213-235o255-275i296-318o348-370i391-413o428-445i458-480o493-515i	i(1-64=64) o(86-101=16) i(123-144=22) o(166-186=21) i(208-213=6) o(235-255=21) i(275-296=22) o(318-348=31) i(370-391=22) o(413-428=16) i(445-458=14) o(480-493=14) i(515-546=32)	i(1-64=64)	i(515-546=32)	64	32	19	26
sp|Q02820|NCE1|YEAST	53	i7-29o	i(1-7=7) o(29-53=25)	i(1-7=7)	o(29-53=25)	7	25	25	7
sp|P46964|OST2|YEAST	130	o46-68i73-95o110-129i	o(1-46=46) i(68-73=6) o(95-110=16) i(129-130=2)	o(1-46=46)	i(129-130=2)	46	2	31	4
sp|Q99380|OST4|YEAST	36	i7-29o	i(1-7=7) o(29-36=8)	i(1-7=7)	o(29-36=8)	7	8	8	7
sp|Q92316|OST5|YEAST	86	o28-50i57-79o	o(1-28=28) i(50-57=8) o(79-86=8)	o(1-28=28)	o(79-86=8)	28	8	18	8
sp|Q02795|OSTD|YEAST	286	o196-218i231-253o	o(1-196=196) i(218-231=14) o(253-286=34)	o(1-196=196)	o(253-286=34)	196	34	115	14
sp|Q07987|PAU23|YEAST	124	i7-29o	i(1-7=7) o(29-124=96)	i(1-7=7)	o(29-124=96)	7	96	96	7
sp|P25610|PAU3|YEAST	124	i7-29o	i(1-7=7) o(29-124=96)	i(1-7=7)	o(29-124=96)	7	96	96	7
sp|P39545|PAU7|YEAST	55	i7-26o	i(1-7=7) o(26-55=30)	i(1-7=7)	o(26-55=30)	7	30	30	7
sp|P25625|PER1|YEAST	357	i155-177o187-204i211-233o248-270i291-313o323-345i	i(1-155=155) o(177-187=11) i(204-211=8) o(233-248=16) i(270-291=22) o(313-323=11) i(345-357=13)	i(1-155=155)	i(345-357=13)	155	13	12	49
sp|P53903|PGA2|YEAST	129	o23-42i	o(1-23=23) i(42-129=88)	o(1-23=23)	i(42-129=88)	23	88	23	88
sp|Q05637|PHM6|YEAST	104	i75-97o	i(1-75=75) o(97-104=8)	i(1-75=75)	o(97-104=8)	75	8	8	75
sp|P38264|PHO88|YEAST	188	o28-47i	o(1-28=28) i(47-188=142)	o(1-28=28)	i(47-188=142)	28	142	28	142
sp|Q03880|PKR1|YEAST	122	o20-42i49-67o	o(1-20=20) i(42-49=8) o(67-122=56)	o(1-20=20)	o(67-122=56)	20	56	38	8
sp|P32903|PMP1|YEAST	40	o5-27i	o(1-5=5) i(27-40=14)	o(1-5=5)	i(27-40=14)	5	14	5	14
sp|P40975|PMP2|YEAST	43	o10-29i	o(1-10=10) i(29-43=15)	o(1-10=10)	i(29-43=15)	10	15	10	15
sp|P87284|PMP3|YEAST	55	i7-26o31-53i	i(1-7=7) o(26-31=6) i(53-55=3)	i(1-7=7)	i(53-55=3)	7	3	6	5
sp|Q12164|POM33|YEAST	279	o33-52i57-79o121-143i177-199o204-221i	o(1-33=33) i(52-57=6) o(79-121=43) i(143-177=35) o(199-204=6) i(221-279=59)	o(1-33=33)	i(221-279=59)	33	59	27	33
sp|Q08931|PRM3|YEAST	133	i105-127o	i(1-105=105) o(127-133=7)	i(1-105=105)	o(127-133=7)	105	7	7	105
sp|P53174|PRM8|YEAST	237	o46-68i75-97o	o(1-46=46) i(68-75=8) o(97-237=141)	o(1-46=46)	o(97-237=141)	46	141	93	8
sp|P39551|PRM9|YEAST	298	i112-131o141-163i	i(1-112=112) o(131-141=11) i(163-298=136)	i(1-112=112)	i(163-298=136)	112	136	11	124
sp|Q9ZZX9|Q0010|YEAST	128	i7-29o39-61i91-113o	i(1-7=7) o(29-39=11) i(61-91=31) o(113-128=16)	i(1-7=7)	o(113-128=16)	7	16	13	19
sp|Q9ZZX7|Q0032|YEAST	96	i13-35o40-59i66-88o	i(1-13=13) o(35-40=6) i(59-66=8) o(88-96=9)	i(1-13=13)	o(88-96=9)	13	9	7	10
sp|Q9ZZW4|Q0142|YEAST	58	o15-37i	o(1-15=15) i(37-58=22)	o(1-15=15)	i(37-58=22)	15	22	15	22
sp|P37299|QCR10|YEAST	77	o22-44i	o(1-22=22) i(44-77=34)	o(1-22=22)	i(44-77=34)	22	34	22	34
sp|P08525|QCR8|YEAST	94	i56-70o	i(1-56=56) o(70-94=25)	i(1-56=56)	o(70-94=25)	56	25	25	56
sp|P22289|QCR9|YEAST	66	o15-37i	o(1-15=15) i(37-66=30)	o(1-15=15)	i(37-66=30)	15	30	15	30
sp|Q03530|RCE1|YEAST	315	o4-23i44-61o76-93i105-127o208-230i237-259o279-298i	o(1-4=4) i(23-44=22) o(61-76=16) i(93-105=13) o(127-208=82) i(230-237=8) o(259-279=21) i(298-315=18)	o(1-4=4)	i(298-315=18)	4	18	30	15
sp|B3LLM2|RCF1|YEAS1	159	i32-54o64-86i	i(1-32=32) o(54-64=11) i(86-159=74)	i(1-32=32)	i(86-159=74)	32	74	11	53
sp|C7GT60|RCF1|YEAS2	159	i32-54o64-86i	i(1-32=32) o(54-64=11) i(86-159=74)	i(1-32=32)	i(86-159=74)	32	74	11	53
sp|A6ZM32|RCF1|YEAS7	159	i32-54o64-86i	i(1-32=32) o(54-64=11) i(86-159=74)	i(1-32=32)	i(86-159=74)	32	74	11	53
sp|C8ZEH4|RCF1|YEAS8	159	i32-54o64-86i	i(1-32=32) o(54-64=11) i(86-159=74)	i(1-32=32)	i(86-159=74)	32	74	11	53
sp|Q03713|RCF1|YEAST	159	i32-54o64-86i	i(1-32=32) o(54-64=11) i(86-159=74)	i(1-32=32)	i(86-159=74)	32	74	11	53
sp|P53721|RCF2|YEAST	224	o20-39i152-171o	o(1-20=20) i(39-152=114) o(171-224=54)	o(1-20=20)	o(171-224=54)	20	54	37	114
sp|P38212|RCR1|YEAST	213	o40-62i	o(1-40=40) i(62-213=152)	o(1-40=40)	i(62-213=152)	40	152	40	152
sp|P25560|RER1|YEAST	188	i62-84o137-159i	i(1-62=62) o(84-137=54) i(159-188=30)	i(1-62=62)	i(159-188=30)	62	30	54	46
sp|P38192|RRT1|YEAST	103	i7-29o39-58i	i(1-7=7) o(29-39=11) i(58-103=46)	i(1-7=7)	i(58-103=46)	7	46	11	26
sp|Q07829|RRT7|YEAST	113	i13-35o70-92i	i(1-13=13) o(35-70=36) i(92-113=22)	i(1-13=13)	i(92-113=22)	13	22	36	17
sp|Q04947|RTN1|YEAST	295	i51-73o143-165i	i(1-51=51) o(73-143=71) i(165-295=131)	i(1-51=51)	i(165-295=131)	51	131	71	91
sp|P32915|SC61A|YEAST	480	i33-55o70-92i113-135o145-167i241-263o	i(1-33=33) o(55-70=16) i(92-113=22) o(135-145=11) i(167-241=75) o(263-480=218)	i(1-33=33)	o(263-480=218)	33	218	81	43
sp|P35179|SC61G|YEAST	80	i53-75o	i(1-53=53) o(75-80=6)	i(1-53=53)	o(75-80=6)	53	6	6	53
sp|P52871|SC6B2|YEAST	88	o59-81i	o(1-59=59) i(81-88=8)	o(1-59=59)	i(81-88=8)	59	8	59	8
sp|P25303|SCJ1|YEAST	377	i5-27o	i(1-5=5) o(27-377=351)	i(1-5=5)	o(27-377=351)	5	351	351	5
