IPI Accession	Length	TMHMM Topography	Length of the Transmembrane Loop(s)	FirstDomain	LastDomain	FirstDomain.Length	LastDomain.Length	Avg Domain.Out	Avg Domain.In
AH6.1	1137	o497-519i	o(1-497=497) i(519-1137=619)	o(1-497=497)	i(519-1137=619)	497	619	497	619
AH6.10	329	o25-47i68-87o107-129i142-164o188-207i240-262o272-294i	o(1-25=25) i(47-68=22) o(87-107=21) i(129-142=14) o(164-188=25) i(207-240=34) o(262-272=11) i(294-329=36)	o(1-25=25)	i(294-329=36)	25	36	20	26
AH6.11	329	o20-42i142-164o188-207i237-259o274-296i	o(1-20=20) i(42-142=101) o(164-188=25) i(207-237=31) o(259-274=16) i(296-329=34)	o(1-20=20)	i(296-329=34)	20	34	20	55
AH6.12	329	i20-42o57-79i141-163o188-210i231-253o273-294i	i(1-20=20) o(42-57=16) i(79-141=63) o(163-188=26) i(210-231=22) o(253-273=21) i(294-329=36)	i(1-20=20)	i(294-329=36)	20	36	21	35
AH6.14	331	i20-42o57-79i142-164o188-210i237-259o274-296i	i(1-20=20) o(42-57=16) i(79-142=64) o(164-188=25) i(210-237=28) o(259-274=16) i(296-331=36)	i(1-20=20)	i(296-331=36)	20	36	19	37
AH6.2	329	i150-167o177-196i232-254o272-294i	i(1-150=150) o(167-177=11) i(196-232=37) o(254-272=19) i(294-329=36)	i(1-150=150)	i(294-329=36)	150	36	15	74
AH6.3	230	o4-21i	o(1-4=4) i(21-230=210)	o(1-4=4)	i(21-230=210)	4	210	4	210
AH6.4	331	o24-46i59-81o107-129i142-164o189-211i232-254o274-296i	o(1-24=24) i(46-59=14) o(81-107=27) i(129-142=14) o(164-189=26) i(211-232=22) o(254-274=21) i(296-331=36)	o(1-24=24)	i(296-331=36)	24	36	24	21
AH6.6	329	o25-47i60-82o102-124i145-164o188-210i237-259o274-296i	o(1-25=25) i(47-60=14) o(82-102=21) i(124-145=22) o(164-188=25) i(210-237=28) o(259-274=16) i(296-329=34)	o(1-25=25)	i(296-329=34)	25	34	21	24
AH6.7	329	o20-42i141-163o188-207i237-259o274-296i	o(1-20=20) i(42-141=100) o(163-188=26) i(207-237=31) o(259-274=16) i(296-329=34)	o(1-20=20)	i(296-329=34)	20	34	20	55
AH6.8	329	i20-42o102-124i145-164o186-208i237-259o274-296i	i(1-20=20) o(42-102=61) i(124-145=22) o(164-186=23) i(208-237=30) o(259-274=16) i(296-329=34)	i(1-20=20)	i(296-329=34)	20	34	33	26
AH9.1	411	i23-45o60-82i89-111o126-148i178-197o238-255i297-319o329-351i	i(1-23=23) o(45-60=16) i(82-89=8) o(111-126=16) i(148-178=31) o(197-238=42) i(255-297=43) o(319-329=11) i(351-411=61)	i(1-23=23)	i(351-411=61)	23	61	21	33
AH9.4	364	o4-26i46-68o88-110i130-152o	o(1-4=4) i(26-46=21) o(68-88=21) i(110-130=21) o(152-364=31)	o(1-4=4)	o(152-364=213)	4	213	79	21
AH9.6	266	i21-40o218-240i	i(1-21=21) o(40-218=179) i(240-266=27)	i(1-21=21)	i(240-266=27)	21	27	179	24
B0024.1	297	i7-29o	i(1-7=7) o(29-297=7)	i(1-7=7)	o(29-297=269)	7	269	269	7
B0024.13	309	o15-37i72-91o111-133i153-170o185-207i228-250o265-287i	o(1-15=15) i(37-72=36) o(91-111=21) i(133-153=21) o(170-185=16) i(207-228=22) o(250-265=16) i(287-309=23)	o(1-15=15)	i(287-309=23)	15	23	17	25
B0024.14a	900	o766-788i	o(1-766=766) i(788-900=113)	o(1-766=766)	i(788-900=113)	766	113	766	113
B0024.14b	966	o832-854i	o(1-832=832) i(854-966=113)	o(1-832=832)	i(854-966=113)	832	113	832	113
B0024.14d	904	o766-788i	o(1-766=766) i(788-904=117)	o(1-766=766)	i(788-904=117)	766	117	766	117
B0024.14f	875	o741-763i	o(1-741=741) i(763-875=113)	o(1-741=741)	i(763-875=113)	741	113	741	113
B0024.15	344	i7-25o	i(1-7=7) o(25-344=7)	i(1-7=7)	o(25-344=320)	7	320	320	7
B0024.2	297	i7-29o	i(1-7=7) o(29-297=7)	i(1-7=7)	o(29-297=269)	7	269	269	7
B0024.3	254	o193-215i	o(1-193=193) i(215-254=40)	o(1-193=193)	i(215-254=40)	193	40	193	40
B0024.6a	1082	o484-506i650-667o	o(1-484=484) i(506-650=145) o(667-1082=21)	o(1-484=484)	o(667-1082=416)	484	416	450	145
B0024.6b	1086	o488-510i654-671o	o(1-488=488) i(510-654=145) o(671-1086=21)	o(1-488=488)	o(671-1086=416)	488	416	452	145
B0025.5	73	i49-71o	i(1-49=49) o(71-73=49)	i(1-49=49)	o(71-73=3)	49	3	3	49
B0034.3a	984	o849-871i	o(1-849=849) i(871-984=114)	o(1-849=849)	i(871-984=114)	849	114	849	114
B0034.3b	167	o32-54i	o(1-32=32) i(54-167=114)	o(1-32=32)	i(54-167=114)	32	114	32	114
B0034.3c	160	o25-47i	o(1-25=25) i(47-160=114)	o(1-25=25)	i(47-160=114)	25	114	25	114
B0034.5	364	o33-55i68-90o110-132i153-172o211-233i270-292o307-329i	o(1-33=33) i(55-68=14) o(90-110=21) i(132-153=22) o(172-211=40) i(233-270=38) o(292-307=16) i(329-364=36)	o(1-33=33)	i(329-364=36)	33	36	27	27
B0035.18	90	i20-39o	i(1-20=20) o(39-90=20)	i(1-20=20)	o(39-90=52)	20	52	52	20
B0035.2	337	i129-148o	i(1-129=129) o(148-337=129)	i(1-129=129)	o(148-337=190)	129	190	190	129
B0041.5	429	i17-39o49-69i171-193o198-217i224-246o250-269i281-303o318-340i347-364o374-393i	i(1-17=17) o(39-49=11) i(69-171=103) o(193-198=6) i(217-224=8) o(246-250=5) i(269-281=13) o(303-318=16) i(340-347=8) o(364-374=11) i(393-429=37)	i(1-17=17)	i(393-429=37)	17	37	9	31
B0198.1	279	i30-52o67-89i96-118o230-252i	i(1-30=30) o(52-67=16) i(89-96=8) o(118-230=113) i(252-279=28)	i(1-30=30)	i(252-279=28)	30	28	64	22
B0198.2a	285	o15-37i44-66o	o(1-15=15) i(37-44=8) o(66-285=8)	o(1-15=15)	o(66-285=220)	15	220	117	8
B0198.2b	310	o15-37i44-66o	o(1-15=15) i(37-44=8) o(66-310=8)	o(1-15=15)	o(66-310=245)	15	245	130	8
B0198.3a	1016	o463-485i	o(1-463=463) i(485-1016=532)	o(1-463=463)	i(485-1016=532)	463	532	463	532
B0205.10	455	i2-18o	i(1-2=2) o(18-455=2)	i(1-2=2)	o(18-455=438)	2	438	438	2
B0205.2a	308	i33-55o70-92i99-121o131-153i174-196o211-233i240-262o	i(1-33=33) o(55-70=16) i(92-99=8) o(121-131=11) i(153-174=22) o(196-211=16) i(233-240=8) o(262-308=8)	i(1-33=33)	o(262-308=47)	33	47	22	17
B0205.2b	329	o20-41i54-76o91-113i120-142o152-174i195-217o232-254i261-283o	o(1-20=20) i(41-54=14) o(76-91=16) i(113-120=8) o(142-152=11) i(174-195=22) o(217-232=16) i(254-261=8) o(283-329=8)	o(1-20=20)	o(283-329=47)	20	47	22	13
B0205.4	399	i9-28o	i(1-9=9) o(28-399=9)	i(1-9=9)	o(28-399=372)	9	372	372	9
B0207.10	81	i53-75o	i(1-53=53) o(75-81=53)	i(1-53=53)	o(75-81=7)	53	7	7	53
B0207.12a	416	i253-275o315-337i393-415o	i(1-253=253) o(275-315=41) i(337-393=57) o(415-416=57)	i(1-253=253)	o(415-416=2)	253	2	21	155
B0207.12b	430	o255-277i284-303o318-340i403-425o	o(1-255=255) i(277-284=8) o(303-318=16) i(340-403=64) o(425-430=22)	o(1-255=255)	o(425-430=6)	255	6	92	36
B0207.2	191	i13-35o	i(1-13=13) o(35-191=13)	i(1-13=13)	o(35-191=157)	13	157	157	13
B0207.8	141	i13-31o59-81i	i(1-13=13) o(31-59=29) i(81-141=61)	i(1-13=13)	i(81-141=61)	13	61	29	37
B0207.9	141	i21-43o	i(1-21=21) o(43-141=21)	i(1-21=21)	o(43-141=99)	21	99	99	21
B0212.1	615	o57-79i92-114o167-189i196-218o330-352i377-399o409-431i456-478o488-510i	o(1-57=57) i(79-92=14) o(114-167=54) i(189-196=8) o(218-330=113) i(352-377=26) o(399-409=11) i(431-456=26) o(478-488=11) i(510-615=106)	o(1-57=57)	i(510-615=106)	57	106	49	36
B0212.2	392	o32-54i114-136o146-168i175-194o229-251i264-286o	o(1-32=32) i(54-114=61) o(136-146=11) i(168-175=8) o(194-229=36) i(251-264=14) o(286-392=26)	o(1-32=32)	o(286-392=107)	32	107	46	27
B0212.4a	382	i30-52o67-89i110-129o139-156i161-179o189-211i231-253o263-282i315-337o	i(1-30=30) o(52-67=16) i(89-110=22) o(129-139=11) i(156-161=6) o(179-189=11) i(211-231=21) o(253-263=11) i(282-315=34) o(337-382=34)	i(1-30=30)	o(337-382=46)	30	46	19	22
B0212.4b	383	i26-48o68-90i111-130o140-157i162-180o190-212i232-254o264-283i316-338o	i(1-26=26) o(48-68=21) i(90-111=22) o(130-140=11) i(157-162=6) o(180-190=11) i(212-232=21) o(254-264=11) i(283-316=34) o(338-383=34)	i(1-26=26)	o(338-383=46)	26	46	20	21
B0212.4c	313	o91-108i120-142o162-184i191-213o223-240i247-269o	o(1-91=91) i(108-120=13) o(142-162=21) i(184-191=8) o(213-223=11) i(240-247=8) o(269-313=21)	o(1-91=91)	o(269-313=45)	91	45	42	9
B0212.5	937	i395-414o429-448i468-490o500-519i540-558o578-600i621-643o	i(1-395=395) o(414-429=16) i(448-468=21) o(490-500=11) i(519-540=22) o(558-578=21) i(600-621=22) o(643-937=22)	i(1-395=395)	o(643-937=295)	395	295	85	115
B0213.11a	498	i2-19o	i(1-2=2) o(19-498=2)	i(1-2=2)	o(19-498=480)	2	480	480	2
B0213.12	499	i2-19o	i(1-2=2) o(19-499=2)	i(1-2=2)	o(19-499=481)	2	481	481	2
B0213.14	499	i2-19o	i(1-2=2) o(19-499=2)	i(1-2=2)	o(19-499=481)	2	481	481	2
B0213.15a	499	i2-19o	i(1-2=2) o(19-499=2)	i(1-2=2)	o(19-499=481)	2	481	481	2
B0213.15b	516	i2-19o	i(1-2=2) o(19-516=2)	i(1-2=2)	o(19-516=498)	2	498	498	2
B0213.17	59	i7-29o	i(1-7=7) o(29-59=7)	i(1-7=7)	o(29-59=31)	7	31	31	7
B0213.2	72	i7-26o30-49i	i(1-7=7) o(26-30=5) i(49-72=24)	i(1-7=7)	i(49-72=24)	7	24	5	15
B0213.3	65	i7-29o	i(1-7=7) o(29-65=7)	i(1-7=7)	o(29-65=37)	7	37	37	7
B0213.4	73	i7-29o	i(1-7=7) o(29-73=7)	i(1-7=7)	o(29-73=45)	7	45	45	7
B0213.5	69	i7-29o	i(1-7=7) o(29-69=7)	i(1-7=7)	o(29-69=41)	7	41	41	7
B0213.6	75	i7-29o	i(1-7=7) o(29-75=7)	i(1-7=7)	o(29-75=47)	7	47	47	7
B0213.7	333	o10-29i50-69o89-111i132-154o202-224i251-273o288-307i	o(1-10=10) i(29-50=22) o(69-89=21) i(111-132=22) o(154-202=49) i(224-251=28) o(273-288=16) i(307-333=27)	o(1-10=10)	i(307-333=27)	10	27	24	24
B0213.8	362	o10-31i52-74o89-111i132-154o202-224i250-272o285-307i	o(1-10=10) i(31-52=22) o(74-89=16) i(111-132=22) o(154-202=49) i(224-250=27) o(272-285=14) i(307-362=56)	o(1-10=10)	i(307-362=56)	10	56	22	31
B0213.9	344	i13-30o90-112i125-147o202-224i245-264o279-301i	i(1-13=13) o(30-90=61) i(112-125=14) o(147-202=56) i(224-245=22) o(264-279=16) i(301-344=44)	i(1-13=13)	i(301-344=44)	13	44	44	23
B0218.1a	572	i2-19o	i(1-2=2) o(19-572=2)	i(1-2=2)	o(19-572=554)	2	554	554	2
B0218.1b	507	i2-19o	i(1-2=2) o(19-507=2)	i(1-2=2)	o(19-507=489)	2	489	489	2
B0218.2	571	i2-21o	i(1-2=2) o(21-571=2)	i(1-2=2)	o(21-571=551)	2	551	551	2
B0222.1	285	o178-200i	o(1-178=178) i(200-285=86)	o(1-178=178)	i(200-285=86)	178	86	178	86
B0222.10	106	i60-82o	i(1-60=60) o(82-106=60)	i(1-60=60)	o(82-106=25)	60	25	25	60
B0222.2	477	i27-46o66-88i108-130o135-152i164-186o201-223i362-384o416-438i450-472o	i(1-27=27) o(46-66=21) i(88-108=21) o(130-135=6) i(152-164=13) o(186-201=16) i(223-362=140) o(384-416=33) i(438-450=13) o(472-477=13)	i(1-27=27)	o(472-477=6)	27	6	16	42
B0222.3	494	i26-45o65-87i108-130o164-186i199-221o234-256i376-398o433-455i467-489o	i(1-26=26) o(45-65=21) i(87-108=22) o(130-164=35) i(186-199=14) o(221-234=14) i(256-376=121) o(398-433=36) i(455-467=13) o(489-494=13)	i(1-26=26)	o(489-494=6)	26	6	22	39
B0222.6	294	i5-27o	i(1-5=5) o(27-294=5)	i(1-5=5)	o(27-294=268)	5	268	268	5
B0222.7	294	i5-27o	i(1-5=5) o(27-294=5)	i(1-5=5)	o(27-294=268)	5	268	268	5
B0222.8	294	i5-27o	i(1-5=5) o(27-294=5)	i(1-5=5)	o(27-294=268)	5	268	268	5
B0228.6	293	i55-77o	i(1-55=55) o(77-293=55)	i(1-55=55)	o(77-293=217)	55	217	217	55
B0238.15	82	o5-27i	o(1-5=5) i(27-82=56)	o(1-5=5)	i(27-82=56)	5	56	5	56
B0238.3	280	o18-40i53-75o90-112i133-155o175-197i221-243o258-278i	o(1-18=18) i(40-53=14) o(75-90=16) i(112-133=22) o(155-175=21) i(197-221=25) o(243-258=16) i(278-280=3)	o(1-18=18)	i(278-280=3)	18	3	17	16
B0238.5	311	o18-40i61-83o103-125i138-160o180-202i222-244o259-281i	o(1-18=18) i(40-61=22) o(83-103=21) i(125-138=14) o(160-180=21) i(202-222=21) o(244-259=16) i(281-311=31)	o(1-18=18)	i(281-311=31)	18	31	19	22
B0238.6	323	o15-34i54-76o96-118i130-152o177-199i216-238o253-275i	o(1-15=15) i(34-54=21) o(76-96=21) i(118-130=13) o(152-177=26) i(199-216=18) o(238-253=16) i(275-323=49)	o(1-15=15)	i(275-323=49)	15	49	19	25
B0238.8	295	o4-23i43-65o85-107i119-141o165-187i204-226o241-263i	o(1-4=4) i(23-43=21) o(65-85=21) i(107-119=13) o(141-165=25) i(187-204=18) o(226-241=16) i(263-295=33)	o(1-4=4)	i(263-295=33)	4	33	16	21
B0240.1	457	i12-29o49-68i75-97o137-159i171-188o208-227i240-259o292-314i327-349o384-406i	i(1-12=12) o(29-49=21) i(68-75=8) o(97-137=41) i(159-171=13) o(188-208=21) i(227-240=14) o(259-292=34) i(314-327=14) o(349-384=36) i(406-457=52)	i(1-12=12)	i(406-457=52)	12	52	30	18
B0240.2	774	i78-100o115-137i149-171o409-431i501-523o595-614i	i(1-78=78) o(100-115=16) i(137-149=13) o(171-409=239) i(431-501=71) o(523-595=73) i(614-774=161)	i(1-78=78)	i(614-774=161)	78	161	109	80
B0240.3	1077	o224-243i336-358o	o(1-224=224) i(243-336=94) o(358-1077=13)	o(1-224=224)	o(358-1077=720)	224	720	472	94
B0240.4	588	i87-109o124-146i159-181o191-209i254-276o	i(1-87=87) o(109-124=16) i(146-159=14) o(181-191=11) i(209-254=46) o(276-588=46)	i(1-87=87)	o(276-588=313)	87	313	113	49
B0244.10	582	i20-42o69-91i118-140o164-186i199-218o254-285i298-320o330-363i376-398o423-445i472-494o514-533i	i(1-20=20) o(42-69=28) i(91-118=28) o(140-164=25) i(186-199=14) o(218-254=37) i(285-298=14) o(320-330=11) i(363-376=14) o(398-423=26) i(445-472=28) o(494-514=21) i(533-582=50)	i(1-20=20)	i(533-582=50)	20	50	24	24
B0244.11	90	i30-52o62-84i	i(1-30=30) o(52-62=11) i(84-90=7)	i(1-30=30)	i(84-90=7)	30	7	11	18
B0244.15	462	o5-27i127-149o164-186i199-216o220-237i250-272o287-318i	o(1-5=5) i(27-127=101) o(149-164=16) i(186-199=14) o(216-220=5) i(237-250=14) o(272-287=16) i(318-462=145)	o(1-5=5)	i(318-462=145)	5	145	10	68
B0244.2	767	o399-421i	o(1-399=399) i(421-767=347)	o(1-399=399)	i(421-767=347)	399	347	399	347
B0244.4a	309	o42-64i85-107o127-149i162-183o203-225i254-276o	o(1-42=42) i(64-85=22) o(107-127=21) i(149-162=14) o(183-203=21) i(225-254=30) o(276-309=145)	o(1-42=42)	o(276-309=34)	42	34	29	22
B0244.4b	358	o42-64i85-107o127-149i162-183o203-225i254-276o	o(1-42=42) i(64-85=22) o(107-127=21) i(149-162=14) o(183-203=21) i(225-254=30) o(276-358=145)	o(1-42=42)	o(276-358=83)	42	83	41	22
B0244.4c	296	o41-63i84-106o126-145i158-177o192-214i	o(1-41=41) i(63-84=22) o(106-126=21) i(145-158=14) o(177-192=16) i(214-296=83)	o(1-41=41)	i(214-296=83)	41	83	26	39
B0244.5	362	o42-64i84-106o126-145i158-180o203-225i254-276o307-324i	o(1-42=42) i(64-84=21) o(106-126=21) i(145-158=14) o(180-203=24) i(225-254=30) o(276-307=32) i(324-362=39)	o(1-42=42)	i(324-362=39)	42	39	29	26
B0244.6	374	o54-76i89-111o133-155i168-190o217-239i260-282o311-333i	o(1-54=54) i(76-89=14) o(111-133=23) i(155-168=14) o(190-217=28) i(239-260=22) o(282-311=30) i(333-374=42)	o(1-54=54)	i(333-374=42)	54	42	33	23
B0244.7	319	o51-73i94-116o131-153i166-188o208-230i261-283o	o(1-51=51) i(73-94=22) o(116-131=16) i(153-166=14) o(188-208=21) i(230-261=32) o(283-319=42)	o(1-51=51)	o(283-319=37)	51	37	31	22
B0244.8	551	i47-69o	i(1-47=47) o(69-551=47)	i(1-47=47)	o(69-551=483)	47	483	483	47
B0244.9	180	o51-70i75-97o107-126i147-169o	o(1-51=51) i(70-75=6) o(97-107=11) i(126-147=22) o(169-180=32)	o(1-51=51)	o(169-180=12)	51	12	24	14
B0250.10	283	o10-32i53-72o97-119i126-148o173-195i215-237o247-269i	o(1-10=10) i(32-53=22) o(72-97=26) i(119-126=8) o(148-173=26) i(195-215=21) o(237-247=11) i(269-283=15)	o(1-10=10)	i(269-283=15)	10	15	18	16
B0250.2	177	o15-37i	o(1-15=15) i(37-177=141)	o(1-15=15)	i(37-177=141)	15	141	15	141
B0250.6	283	o10-32i45-67o82-104i125-144o178-200i212-234o244-263i	o(1-10=10) i(32-45=14) o(67-82=16) i(104-125=22) o(144-178=35) i(200-212=13) o(234-244=11) i(263-283=21)	o(1-10=10)	i(263-283=21)	10	21	18	17
B0250.9	457	i48-70o135-157i164-186o220-237i244-266o286-308i315-334o405-427i	i(1-48=48) o(70-135=66) i(157-164=8) o(186-220=35) i(237-244=8) o(266-286=21) i(308-315=8) o(334-405=72) i(427-457=31)	i(1-48=48)	i(427-457=31)	48	31	48	20
B0252.1	809	o443-462i	o(1-443=443) i(462-809=348)	o(1-443=443)	i(462-809=348)	443	348	443	348
B0252.3a	297	o20-42i100-122o132-154i161-180o185-207i243-265o	o(1-20=20) i(42-100=59) o(122-132=11) i(154-161=8) o(180-185=6) i(207-243=37) o(265-297=8)	o(1-20=20)	o(265-297=33)	20	33	17	34
B0252.3b	484	i46-68o118-140i147-169o179-201i206-228o287-309i316-338o348-366i373-395o429-451i	i(1-46=46) o(68-118=51) i(140-147=8) o(169-179=11) i(201-206=6) o(228-287=60) i(309-316=8) o(338-348=11) i(366-373=8) o(395-429=35) i(451-484=34)	i(1-46=46)	i(451-484=34)	46	34	33	18
B0252.3c	464	i26-48o98-120i127-149o159-181i186-208o267-289i296-318o328-346i353-375o409-431i	i(1-26=26) o(48-98=51) i(120-127=8) o(149-159=11) i(181-186=6) o(208-267=60) i(289-296=8) o(318-328=11) i(346-353=8) o(375-409=35) i(431-464=34)	i(1-26=26)	i(431-464=34)	26	34	33	15
B0261.5	196	o4-26i	o(1-4=4) i(26-196=171)	o(1-4=4)	i(26-196=171)	4	171	4	171
B0272.2	213	i190-212o	i(1-190=190) o(212-213=190)	i(1-190=190)	o(212-213=2)	190	2	2	190
B0273.4a	919	i338-360o	i(1-338=338) o(360-919=338)	i(1-338=338)	o(360-919=560)	338	560	560	338
B0273.4b	567	o339-361i	o(1-339=339) i(361-567=207)	o(1-339=339)	i(361-567=207)	339	207	339	207
B0280.12a	908	o553-575i627-649o832-854i	o(1-553=553) i(575-627=53) o(649-832=184) i(854-908=55)	o(1-553=553)	i(854-908=55)	553	55	368	54
B0280.12b	977	o622-644i696-718o901-923i	o(1-622=622) i(644-696=53) o(718-901=184) i(923-977=55)	o(1-622=622)	i(923-977=55)	622	55	403	54
B0284.3	163	i20-42o57-79i	i(1-20=20) o(42-57=16) i(79-163=85)	i(1-20=20)	i(79-163=85)	20	85	16	52
B0285.5	616	i13-30o	i(1-13=13) o(30-616=13)	i(1-13=13)	o(30-616=587)	13	587	587	13
B0285.6	577	i57-79o138-160i214-236o254-276i320-339o354-373i452-474o494-516i529-551o	i(1-57=57) o(79-138=60) i(160-214=55) o(236-254=19) i(276-320=45) o(339-354=16) i(373-452=80) o(474-494=21) i(516-529=14) o(551-577=14)	i(1-57=57)	o(551-577=27)	57	27	28	50
B0285.7	781	i16-38o	i(1-16=16) o(38-781=16)	i(1-16=16)	o(38-781=744)	16	744	744	16
B0286.2a	1338	o899-921i934-951o961-980i1000-1021o1041-1063i1082-1104o1114-1136i	o(1-899=899) i(921-934=14) o(951-961=11) i(980-1000=21) o(1021-1041=21) i(1063-1082=20) o(1104-1114=11) i(1136-1338=203)	o(1-899=899)	i(1136-1338=203)	899	203	235	64
B0286.2b	459	o20-42i55-72o82-101i121-142o162-184i203-225o235-257i	o(1-20=20) i(42-55=14) o(72-82=11) i(101-121=21) o(142-162=21) i(184-203=20) o(225-235=11) i(257-459=203)	o(1-20=20)	i(257-459=203)	20	203	15	64
B0303.11	906	o53-75i96-118o142-159i166-188o213-235i244-266o286-308i365-387o397-416i421-440o	o(1-53=53) i(75-96=22) o(118-142=25) i(159-166=8) o(188-213=26) i(235-244=10) o(266-286=21) i(308-365=58) o(387-397=11) i(416-421=6) o(440-906=34)	o(1-53=53)	o(440-906=467)	53	467	100	20
B0303.16	308	i13-32o37-54i67-89o109-129i142-159o169-186i	i(1-13=13) o(32-37=6) i(54-67=14) o(89-109=21) i(129-142=14) o(159-169=11) i(186-308=123)	i(1-13=13)	i(186-308=123)	13	123	12	41
B0303.4	616	i12-34o475-497i544-563o568-587i	i(1-12=12) o(34-475=442) i(497-544=48) o(563-568=6) i(587-616=30)	i(1-12=12)	i(587-616=30)	12	30	224	30
B0303.8	239	o164-186i	o(1-164=164) i(186-239=54)	o(1-164=164)	i(186-239=54)	164	54	164	54
B0304.3	534	i7-24o30-47i89-111o	i(1-7=7) o(24-30=7) i(47-89=43) o(111-534=43)	i(1-7=7)	o(111-534=424)	7	424	215	25
B0304.5	338	i28-50o119-141i154-172o199-221i246-268o283-305i	i(1-28=28) o(50-119=70) i(141-154=14) o(172-199=28) i(221-246=26) o(268-283=16) i(305-338=34)	i(1-28=28)	i(305-338=34)	28	34	38	25
B0304.6	327	i20-42o57-79i138-160o185-207i233-255o270-292i	i(1-20=20) o(42-57=16) i(79-138=60) o(160-185=26) i(207-233=27) o(255-270=16) i(292-327=36)	i(1-20=20)	i(292-327=36)	20	36	19	35
B0304.7	355	o29-47i60-82o113-135i148-167o193-215i239-261o276-298i	o(1-29=29) i(47-60=14) o(82-113=32) i(135-148=14) o(167-193=27) i(215-239=25) o(261-276=16) i(298-355=58)	o(1-29=29)	i(298-355=58)	29	58	26	27
B0304.8	339	o15-34i55-77o99-121i142-161o188-210i237-259o269-291i	o(1-15=15) i(34-55=22) o(77-99=23) i(121-142=22) o(161-188=28) i(210-237=28) o(259-269=11) i(291-339=49)	o(1-15=15)	i(291-339=49)	15	49	19	30
B0304.9	354	o28-47i67-89o104-126i147-169o191-213i248-270o285-307i	o(1-28=28) i(47-67=21) o(89-104=16) i(126-147=22) o(169-191=23) i(213-248=36) o(270-285=16) i(307-354=48)	o(1-28=28)	i(307-354=48)	28	48	20	31
B0310.1a	264	i107-124o139-158i165-184o189-208i	i(1-107=107) o(124-139=16) i(158-165=8) o(184-189=6) i(208-264=57)	i(1-107=107)	i(208-264=57)	107	57	11	57
B0310.1b	292	i17-39o131-153i160-182o216-235i	i(1-17=17) o(39-131=93) i(153-160=8) o(182-216=35) i(235-292=58)	i(1-17=17)	i(235-292=58)	17	58	64	27
B0310.3	417	o364-386i	o(1-364=364) i(386-417=32)	o(1-364=364)	i(386-417=32)	364	32	364	32
B0310.5	531	o493-515i	o(1-493=493) i(515-531=17)	o(1-493=493)	i(515-531=17)	493	17	493	17
B0331.1	502	i2-19o	i(1-2=2) o(19-502=2)	i(1-2=2)	o(19-502=484)	2	484	484	2
B0331.2	523	i17-36o51-73i150-172o196-218i231-253o266-288i408-427o442-464i497-519o	i(1-17=17) o(36-51=16) i(73-150=78) o(172-196=25) i(218-231=14) o(253-266=14) i(288-408=121) o(427-442=16) i(464-497=34) o(519-523=34)	i(1-17=17)	o(519-523=5)	17	5	15	52
B0334.11a	448	i143-165o175-193i251-273o293-315i	i(1-143=143) o(165-175=11) i(193-251=59) o(273-293=21) i(315-448=134)	i(1-143=143)	i(315-448=134)	143	134	16	112
B0334.11b	446	i141-163o173-191i249-271o291-313i	i(1-141=141) o(163-173=11) i(191-249=59) o(271-291=21) i(313-446=134)	i(1-141=141)	i(313-446=134)	141	134	16	111
B0334.15	144	i5-27o47-69i	i(1-5=5) o(27-47=21) i(69-144=76)	i(1-5=5)	i(69-144=76)	5	76	21	40
