IPI	Description	Protein Length	TMHMM Topology	List of Transmembrane Loops and Sequon Data	Avg-loop.i	Avg-loop.o
IPI00857693	TREMBL D3YZA9	150	o94-116i123-145o	o(1-94=93)/1 i(116-123=7)/0 o(145-150=5)/0 	7	49
IPI00404871	TREMBL Q8C3H7	131	o94-116i	o(1-94=93)/1 i(116-131=15)/0 	15	93
IPI00473448	SWISS-PROT Q3TCX3-4	131	o94-116i	o(1-94=93)/1 i(116-131=15)/0 	15	93
IPI00124453	SWISS-PROT Q9JLL0	1037	o940-962i	o(1-940=939)/1 i(962-1037=75)/0 	75	939
IPI00120225	SWISS-PROT Q60751	1373	o937-959i	o(1-937=936)/1 i(959-1373=414)/0 	414	936
IPI01008146	TREMBL E9QNX9	1369	o937-959i	o(1-937=936)/1 i(959-1369=410)/0 	410	936
IPI00387460	SWISS-PROT Q6P8G8	290	o93-115i150-172o240-262i	o(1-93=92)/1 i(115-150=35)/0 o(172-240=68)/0 i(262-290=28)/0 	31.5	80
IPI00128833	SWISS-PROT P97714	562	o93-115i127-149o164-186i207-229o249-271i343-365o380-399i	o(1-93=92)/1 i(115-127=12)/0 o(149-164=15)/0 i(186-207=21)/0 o(229-249=20)/0 i(271-343=72)/0 o(365-380=15)/0 i(399-562=163)/0 	67	35.5
IPI00874400	TREMBL A2ANQ2	562	o93-115i127-149o164-186i207-229o249-271i343-365o380-399i	o(1-93=92)/1 i(115-127=12)/0 o(149-164=15)/0 i(186-207=21)/0 o(229-249=20)/0 i(271-343=72)/0 o(365-380=15)/0 i(399-562=163)/0 	67	35.5
IPI01007638	TREMBL E9QJT7	560	o93-115i127-149o164-186i207-229o249-271i343-365o380-399i	o(1-93=92)/1 i(115-127=12)/0 o(149-164=15)/0 i(186-207=21)/0 o(229-249=20)/0 i(271-343=72)/0 o(365-380=15)/0 i(399-560=161)/0 	66.5	35.5
IPI00895403	TREMBL E9Q1R5 Q76N29 Q76N30	2321	o93-115i122-144o181-203i259-278o293-315i442-464o474-496i569-591o644-666i1145-1167o1187-1209i1216-1235o1281-1303i1394-1416o1476-1498i1505-1527o1595-1614i1692-1714o	o(1-93=92)/1 i(115-122=7)/0 o(144-181=37)/0 i(203-259=56)/0 o(278-293=15)/0 i(315-442=127)/0 o(464-474=10)/0 i(496-569=73)/0 o(591-644=53)/0 i(666-1145=479)/0 o(1167-1187=20)/0 i(1209-1216=7)/0 o(1235-1281=46)/0 i(1303-1394=91)/0 o(1416-1476=60)/0 i(1498-1505=7)/0 o(1527-1595=68)/0 i(1614-1692=78)/0 o(1714-2321=607)/0 	102.778	100.8
IPI00379099	REFSEQ XP_355900 XP_919782	701	o93-115i122-144o159-176i183-202o245-267i274-296o359-381i459-478o482-504i517-539o549-571i592-614o641-663i	o(1-93=92)/1 i(115-122=7)/0 o(144-159=15)/0 i(176-183=7)/0 o(202-245=43)/0 i(267-274=7)/0 o(296-359=63)/0 i(381-459=78)/0 o(478-482=4)/0 i(504-517=13)/0 o(539-549=10)/0 i(571-592=21)/0 o(614-641=27)/0 i(663-701=38)/0 	24.4286	36.2857
IPI00128242	SWISS-PROT Q810F0-1	153	o93-115i	o(1-93=92)/1 i(115-153=38)/0 	38	92
IPI00467401	SWISS-PROT Q810F0-2	124	o93-115i	o(1-93=92)/1 i(115-124=9)/0 	9	92
IPI00651824	TREMBL Q3USW1	195	o93-115i	o(1-93=92)/1 i(115-195=80)/0 	80	92
IPI00762588	TREMBL D3Z5S4	195	o93-115i	o(1-93=92)/1 i(115-195=80)/0 	80	92
IPI00968881	TREMBL D6RE30	124	o93-115i	o(1-93=92)/1 i(115-124=9)/0 	9	92
IPI00988080	REFSEQ XP_003086731	124	o93-115i	o(1-93=92)/1 i(115-124=9)/0 	9	92
IPI01027355	TREMBL F8VQJ2	153	o93-115i	o(1-93=92)/1 i(115-153=38)/0 	38	92
IPI00623397	SWISS-PROT Q8CGM1-3	1549	o930-952i961-983o998-1020i1032-1051o1071-1093i1136-1158o	o(1-930=929)/1 i(952-961=9)/0 o(983-998=15)/0 i(1020-1032=12)/0 o(1051-1071=20)/0 i(1093-1136=43)/0 o(1158-1549=391)/0 	21.3333	338.75
IPI00319528	SWISS-PROT Q8CGM1-1	1561	o930-952i961-983o998-1020i1032-1051o1071-1093i1114-1136o1146-1168i1175-1197o	o(1-930=929)/1 i(952-961=9)/0 o(983-998=15)/0 i(1020-1032=12)/0 o(1051-1071=20)/0 i(1093-1114=21)/0 o(1136-1146=10)/0 i(1168-1175=7)/0 o(1197-1561=364)/0 	12.25	267.6
IPI01016242	ENSEMBL ENSMUSP00000030571	1577	o930-952i961-983o998-1020i1032-1051o1071-1093i1114-1136o1146-1168i1175-1197o	o(1-930=929)/1 i(952-961=9)/0 o(983-998=15)/0 i(1020-1032=12)/0 o(1051-1071=20)/0 i(1093-1114=21)/0 o(1136-1146=10)/0 i(1168-1175=7)/0 o(1197-1577=380)/0 	12.25	270.8
IPI00987437	ENSEMBL ENSMUSP00000095480	1544	o930-952i961-983o998-1020i1032-1051o1071-1093i1114-1136o	o(1-930=929)/1 i(952-961=9)/0 o(983-998=15)/0 i(1020-1032=12)/0 o(1051-1071=20)/0 i(1093-1114=21)/0 o(1136-1544=408)/0 	14	343
IPI00130420	SWISS-PROT P16056	1379	o930-952i	o(1-930=929)/1 i(952-1379=427)/0 	427	929
IPI01027767	TREMBL A1A597 A4FUV6 A4FUV7 F8VQL0 Q3TCS4 Q6Q531 Q6Q532 Q6Q533	1379	o930-952i	o(1-930=929)/1 i(952-1379=427)/0 	427	929
IPI00895291	TREMBL B2KFH1	1548	o929-951i960-982o997-1019i1031-1050o1070-1092i1135-1157o	o(1-929=928)/1 i(951-960=9)/0 o(982-997=15)/0 i(1019-1031=12)/0 o(1050-1070=20)/0 i(1092-1135=43)/0 o(1157-1548=391)/0 	21.3333	338.5
IPI00853890	TREMBL B2KFH0	1560	o929-951i960-982o997-1019i1031-1050o1070-1092i1113-1135o1145-1167i1174-1196o	o(1-929=928)/1 i(951-960=9)/0 o(982-997=15)/0 i(1019-1031=12)/0 o(1050-1070=20)/0 i(1092-1113=21)/0 o(1135-1145=10)/0 i(1167-1174=7)/0 o(1196-1560=364)/0 	12.25	267.4
IPI00918496	SWISS-PROT Q8CEF9	1107	o929-951i	o(1-929=928)/1 i(951-1107=156)/0 	156	928
IPI00453492	SWISS-PROT Q8K135-2	1085	o927-949i	o(1-927=926)/1 i(949-1085=136)/0 	136	926
IPI00626472	SWISS-PROT Q8K135-1	1048	o927-949i	o(1-927=926)/1 i(949-1048=99)/0 	99	926
IPI00406094	SWISS-PROT Q3UZV7-1	1028	o926-948i	o(1-926=925)/1 i(948-1028=80)/0 	80	925
IPI00857664	SWISS-PROT Q3UZV7-2	1014	o926-948i	o(1-926=925)/1 i(948-1014=66)/0 	66	925
IPI00380749	SWISS-PROT Q7TSK2-1	991	o923-945i	o(1-923=922)/1 i(945-991=46)/0 	46	922
IPI00461474	SWISS-PROT Q6ZWR6-2	972	o923-940i	o(1-923=922)/1 i(940-972=32)/0 	32	922
IPI00123516	SWISS-PROT Q9WTL4	1300	o922-944i	o(1-922=921)/1 i(944-1300=356)/0 	356	921
IPI00230741	TREMBL E9QQ02	1016	o922-944i	o(1-922=921)/1 i(944-1016=72)/0 	72	921
IPI00755155	TREMBL E9QQ63	1003	o922-944i	o(1-922=921)/1 i(944-1003=59)/0 	59	921
IPI00986252	TREMBL E9PYT6 Q8BQQ0	992	o922-944i	o(1-922=921)/1 i(944-992=48)/0 	48	921
IPI00357851	TREMBL A2AP83 Q3UKF7	941	o922-940i	o(1-922=921)/1 i(940-941=1)/0 	1	921
IPI00111686	REFSEQ NP_001157147	1282	o92-114i168-190o195-217i281-298o308-330i664-686o726-748i792-814o818-840i904-926o	o(1-92=91)/1 i(114-168=54)/0 o(190-195=5)/0 i(217-281=64)/0 o(298-308=10)/0 i(330-664=334)/0 o(686-726=40)/0 i(748-792=44)/0 o(814-818=4)/0 i(840-904=64)/0 o(926-1282=356)/0 	112	84.3333
IPI00970250	TREMBL F6TFF2	172	o92-114i	o(1-92=91)/1 i(114-172=58)/0 	58	91
IPI00420850	SWISS-PROT Q76HP3	1097	o919-941i	o(1-919=918)/1 i(941-1097=156)/0 	156	918
IPI00124212	SWISS-PROT Q3TVA9-2	950	o917-939i	o(1-917=916)/1 i(939-950=11)/0 	11	916
IPI00403618	SWISS-PROT Q6NZL0	945	o917-939i	o(1-917=916)/1 i(939-945=6)/0 	6	916
IPI00466578	TREMBL E9PVM3 Q1A6U9 Q1A6V1	941	o915-937i	o(1-915=914)/1 i(937-941=4)/0 	4	914
IPI00132931	SWISS-PROT O88634	396	o91-113i125-147o162-184i204-226o253-275i296-318o333-355i	o(1-91=90)/1 i(113-125=12)/0 o(147-162=15)/0 i(184-204=20)/0 o(226-253=27)/0 i(275-296=21)/0 o(318-333=15)/0 i(355-396=41)/0 	23.5	36.75
IPI00224550	SWISS-PROT P97764-1	304	o91-110i	o(1-91=90)/1 i(110-304=194)/0 	194	90
IPI00652396	SWISS-PROT Q7TSK2-2	977	o910-932i	o(1-910=909)/1 i(932-977=45)/0 	45	909
IPI00222092	TREMBL Q8BIC8 Q8CGY7	991	o909-931i	o(1-909=908)/1 i(931-991=60)/0 	60	908
IPI00875668	ENSEMBL ENSMUSP00000026531	991	o909-931i	o(1-909=908)/1 i(931-991=60)/0 	60	908
IPI00886237	SWISS-PROT Q80TS8-2	979	o907-929i	o(1-907=906)/1 i(929-979=50)/0 	50	906
IPI00267378	SWISS-PROT Q8BG22-1	942	o904-926i	o(1-904=903)/1 i(926-942=16)/0 	16	903
IPI00342908	SWISS-PROT A2AFS3-1	1009	o904-926i	o(1-904=903)/1 i(926-1009=83)/0 	83	903
IPI00896603	TREMBL B3F5L5	996	o903-925i	o(1-903=902)/1 i(925-996=71)/0 	71	902
IPI00989042	REFSEQ XP_003084810	976	o902-924i	o(1-902=901)/1 i(924-976=52)/0 	52	901
IPI00464158	TREMBL Q69ZH3	322	o90-112i125-147o185-207i	o(1-90=89)/1 i(112-125=13)/0 o(147-185=38)/0 i(207-322=115)/0 	64	63.5
IPI00895261	TREMBL F6TQE2	171	o90-112i125-147o	o(1-90=89)/1 i(112-125=13)/0 o(147-171=24)/0 	13	56.5
IPI00858082	TREMBL Q3TQJ3 Q3V1K7 Q4VA99 Q80VV4	693	o90-112i119-141o194-216i229-251o277-299i371-393o408-430i443-462o560-582i602-621o650-672i	o(1-90=89)/1 i(112-119=7)/0 o(141-194=53)/0 i(216-229=13)/0 o(251-277=26)/0 i(299-371=72)/0 o(393-408=15)/0 i(430-443=13)/0 o(462-560=98)/0 i(582-602=20)/0 o(621-650=29)/0 i(672-693=21)/0 	24.3333	51.6667
IPI00987531	TREMBL E9Q1X2	344	o90-112i119-141o151-173i206-228o	o(1-90=89)/1 i(112-119=7)/0 o(141-151=10)/0 i(173-206=33)/0 o(228-344=116)/0 	20	71.6667
IPI00788395	TREMBL B6VJS3 Q6ST19	470	o90-112i119-141o151-173i206-225o240-262i330-352o367-389i	o(1-90=89)/1 i(112-119=7)/0 o(141-151=10)/0 i(173-206=33)/0 o(225-240=15)/0 i(262-330=68)/0 o(352-367=15)/0 i(389-470=81)/0 	47.25	32.25
IPI00974912	SWISS-PROT P32304	448	o90-112i119-141o151-173i206-225o240-262i330-352o367-389i	o(1-90=89)/1 i(112-119=7)/0 o(141-151=10)/0 i(173-206=33)/0 o(225-240=15)/0 i(262-330=68)/0 o(352-367=15)/0 i(389-448=59)/0 	41.75	32.25
IPI00986874	TREMBL B6VJS2 Q6ST20	435	o90-112i119-141o151-173i206-225o240-262i330-352o367-389i	o(1-90=89)/1 i(112-119=7)/0 o(141-151=10)/0 i(173-206=33)/0 o(225-240=15)/0 i(262-330=68)/0 o(352-367=15)/0 i(389-435=46)/0 	38.5	32.25
IPI00395051	SWISS-PROT Q8R138	280	o90-112i	o(1-90=89)/1 i(112-280=168)/0 	168	89
IPI00678465	TREMBL Q8CD64	119	o90-112i	o(1-90=89)/1 i(112-119=7)/0 	7	89
IPI00928211	TREMBL D6REV0	126	o90-112i	o(1-90=89)/1 i(112-126=14)/0 	14	89
IPI00845674	TREMBL D3Z168 Q8C5Y4	303	o90-109i	o(1-90=89)/1 i(109-303=194)/0 	194	89
IPI00816892	SWISS-PROT Q6ZWR6-3	949	o900-917i	o(1-900=899)/1 i(917-949=32)/0 	32	899
IPI00755042	TREMBL F6QIC8	1078	o899-921i	o(1-899=898)/1 i(921-1078=157)/0 	157	898
IPI00875164	SWISS-PROT Q6P1Y8	924	o898-920i	o(1-898=897)/1 i(920-924=4)/0 	4	897
IPI00378780	TREMBL E9Q8I7 Q8K263 Q8R217	918	o897-914i	o(1-897=896)/1 i(914-918=4)/0 	4	896
