ID	Description	Protein Length	TMHMM Topology	Loop Length Info	List of Sequons and Locations
Q86UG4	SO6A1_HUMAN Solute carrier organic anion transporter family member 6A1 OS=Homo sapiens GN=SLCO6A1 PE=2 SV=2	719	i108-130o145-164i171-193o229-251i264-286o314-336i421-443o453-475i580-602o668-690i	i(1-108=108) o(130-145=16) i(164-171=8) o(193-229=37) i(251-264=14) o(286-314=29) i(336-421=86) o(443-453=11) i(475-580=106) o(602-668=67) i(690-719=30)	NTT(294)/o NTT(300)/o NGS(305)/o NLT(497)/i NCS(546)/i NKT(661)/o 
Q8N6S5	AR6P6_HUMAN ADP-ribosylation factor-like protein 6-interacting protein 6 OS=Homo sapiens GN=ARL6IP6 PE=1 SV=1	226	i108-130o150-172i203-225o	i(1-108=108) o(130-150=21) i(172-203=32) o(225-226=32)	NGS(78)/i 
Q8N5G0	SMI20_HUMAN Small integral membrane protein 20 OS=Homo sapiens GN=SMIM20 PE=1 SV=2	168	i109-128o	i(1-109=109) o(128-168=109)	NSS(32)/i 
P00167	CYB5_HUMAN Cytochrome b5 OS=Homo sapiens GN=CYB5A PE=1 SV=2	134	i109-131o	i(1-109=109) o(131-134=109)	NHS(21)/i 
Q9UJ14	GGT7_HUMAN Gamma-glutamyltransferase 7 OS=Homo sapiens GN=GGT7 PE=1 SV=2	662	i109-131o	i(1-109=109) o(131-662=109)	NES(198)/o NVT(267)/o NMS(283)/o NLT(330)/o NYS(353)/o NLT(394)/o NDS(452)/o NRT(519)/o NHS(523)/o NLS(586)/o 
P20648	ATP4A_HUMAN Potassium-transporting ATPase alpha chain 1 OS=Homo sapiens GN=ATP4A PE=2 SV=5	1035	i109-131o141-160i306-328o333-355i801-823o923-945i965-986o996-1013i	i(1-109=109) o(131-141=11) i(160-306=147) o(328-333=6) i(355-801=447) o(823-923=101) i(945-965=21) o(986-996=11) i(1013-1035=23)	NSS(226)/i NST(494)/i NDS(731)/i 
Q9Y5Y0	FLVC1_HUMAN Feline leukemia virus subgroup C receptor-related protein 1 OS=Homo sapiens GN=FLVCR1 PE=1 SV=1	555	i109-131o146-168i198-220o274-296i332-354o369-391i403-420o425-447i460-482o492-511i	i(1-109=109) o(131-146=16) i(168-198=31) o(220-274=55) i(296-332=37) o(354-369=16) i(391-403=13) o(420-425=6) i(447-460=14) o(482-492=11) i(511-555=45)	NDT(265)/o NIS(273)/o NAS(467)/m 
Q8TD22	SFXN5_HUMAN Sideroflexin-5 OS=Homo sapiens GN=SFXN5 PE=2 SV=1	340	i109-131o163-185i197-219o252-274i286-308o	i(1-109=109) o(131-163=33) i(185-197=13) o(219-252=34) i(274-286=13) o(308-340=13)	NQT(127)/m NQS(140)/o NAT(153)/o 
Q6NUT2	D19L2_HUMAN Probable C-mannosyltransferase DPY19L2 OS=Homo sapiens GN=DPY19L2 PE=1 SV=2	758	i110-127o193-215i243-265o269-286i299-321o341-363i372-394o487-509i530-552o	i(1-110=110) o(127-193=67) i(215-243=29) o(265-269=5) i(286-299=14) o(321-341=21) i(363-372=10) o(394-487=94) i(509-530=22) o(552-758=22)	NVT(222)/i 
Q9BVV7	TIM21_HUMAN Mitochondrial import inner membrane translocase subunit Tim21 OS=Homo sapiens GN=TIMM21 PE=1 SV=1	248	i110-129o	i(1-110=110) o(129-248=110)	NRS(243)/o 
Q96QZ0	PANX3_HUMAN Pannexin-3 OS=Homo sapiens GN=PANX3 PE=2 SV=1	392	i110-132o268-290i	i(1-110=110) o(132-268=137) i(290-392=103)	NFS(71)/i NRS(152)/o NLT(290)/i NIS(336)/i 
Q7L1I2	SV2B_HUMAN Synaptic vesicle glycoprotein 2B OS=Homo sapiens GN=SV2B PE=2 SV=1	683	i111-133o148-170i177-196o201-223i236-258o273-294i389-411o537-559i566-588o592-614i627-649o654-672i	i(1-111=111) o(133-148=16) i(170-177=8) o(196-201=6) i(223-236=14) o(258-273=16) i(294-389=96) o(411-537=127) i(559-566=8) o(588-592=5) i(614-627=14) o(649-654=6) i(672-683=12)	NES(23)/i NAS(185)/m NFT(441)/o NCT(491)/o NST(516)/o 
Q8TAA9	VANG1_HUMAN Vang-like protein 1 OS=Homo sapiens GN=VANGL1 PE=1 SV=1	524	i111-133o148-170i182-204o219-241i	i(1-111=111) o(133-148=16) i(170-182=13) o(204-219=16) i(241-524=284)	NDS(59)/i NAT(320)/i 
Q9NYB5	SO1C1_HUMAN Solute carrier organic anion transporter family member 1C1 OS=Homo sapiens GN=SLCO1C1 PE=2 SV=1	712	i111-133o221-243i271-293o349-371i392-414o424-446i517-539o554-576i589-611o641-663i	i(1-111=111) o(133-221=89) i(243-271=29) o(293-349=57) i(371-392=22) o(414-424=11) i(446-517=72) o(539-554=16) i(576-589=14) o(611-641=31) i(663-712=50)	NST(146)/o NSS(309)/o NRS(510)/i NCT(520)/m NSS(533)/m NYT(692)/i 
Q9UIQ6	LCAP_HUMAN Leucyl-cystinyl aminopeptidase OS=Homo sapiens GN=LNPEP PE=1 SV=3	1025	i112-131o	i(1-112=112) o(131-1025=112)	NRS(83)/i NQS(145)/o NLT(184)/o NIS(215)/o NYT(256)/o NIS(266)/o NLS(368)/o NGT(374)/o NTS(448)/o NSS(525)/o NHS(578)/o NQT(598)/o NYS(664)/o NLT(682)/o NHT(760)/o NCS(834)/o NGT(850)/o NQS(989)/o 
P54707	AT12A_HUMAN Potassium-transporting ATPase alpha chain 2 OS=Homo sapiens GN=ATP12A PE=1 SV=3	1039	i112-134o144-163i306-328o338-360i802-824o865-887i969-988o998-1017i	i(1-112=112) o(134-144=11) i(163-306=144) o(328-338=11) i(360-802=443) o(824-865=42) i(887-969=83) o(988-998=11) i(1017-1039=23)	NSS(230)/i NST(498)/i NDS(735)/i 
Q5GH76	XKR4_HUMAN XK-related protein 4 OS=Homo sapiens GN=XKR4 PE=2 SV=1	650	i112-134o144-166i246-268o304-326i333-352o367-389i396-418o431-448i455-477o487-509i	i(1-112=112) o(134-144=11) i(166-246=81) o(268-304=37) i(326-333=8) o(352-367=16) i(389-396=8) o(418-431=14) i(448-455=8) o(477-487=11) i(509-650=142)	NAS(218)/i NSS(232)/i NRS(552)/i 
P50443	S26A2_HUMAN Sulfate transporter OS=Homo sapiens GN=SLC26A2 PE=1 SV=2	739	i112-134o149-171i217-239o243-265i272-294o376-398i419-441o456-478i513-535o	i(1-112=112) o(134-149=16) i(171-217=47) o(239-243=5) i(265-272=8) o(294-376=83) i(398-419=22) o(441-456=16) i(478-513=36) o(535-739=36)	NVS(10)/i NDS(20)/i NGS(199)/i NHT(205)/i NSS(357)/o 
Q96P56	CTSR2_HUMAN Cation channel sperm-associated protein 2 OS=Homo sapiens GN=CATSPER2 PE=1 SV=2	530	i113-132o147-169i176-198o241-263i276-295o315-337i	i(1-113=113) o(132-147=16) i(169-176=8) o(198-241=44) i(263-276=14) o(295-315=21) i(337-530=194)	NFS(168)/m NMS(377)/i 
Q9UN42	AT1B4_HUMAN Protein ATP1B4 OS=Homo sapiens GN=ATP1B4 PE=2 SV=1	357	i113-135o	i(1-113=113) o(135-357=113)	NVS(168)/o NDS(190)/o NCS(229)/o NYT(306)/o 
A6NFX1	MFS2B_HUMAN Major facilitator superfamily domain-containing protein 2B OS=Homo sapiens GN=MFSD2B PE=2 SV=3	497	i113-135o150-172i185-207o227-249i286-308o318-340i347-366o371-393i413-435o459-481i	i(1-113=113) o(135-150=16) i(172-185=14) o(207-227=21) i(249-286=38) o(308-318=11) i(340-347=8) o(366-371=6) i(393-413=21) o(435-459=25) i(481-497=17)	NRS(103)/i 
Q9Y2C5	S17A4_HUMAN Putative small intestine sodium-dependent phosphate transport protein OS=Homo sapiens GN=SLC17A4 PE=2 SV=1	497	i113-135o150-172i200-222o227-249i292-314o334-356i369-391o396-418i430-452o462-481i	i(1-113=113) o(135-150=16) i(172-200=29) o(222-227=6) i(249-292=44) o(314-334=21) i(356-369=14) o(391-396=6) i(418-430=13) o(452-462=11) i(481-497=17)	NFS(47)/i NLS(56)/i NNT(66)/i NAS(75)/i NET(90)/i NIS(470)/m 
P23284	PPIB_HUMAN Peptidyl-prolyl cis-trans isomerase B OS=Homo sapiens GN=PPIB PE=1 SV=2	216	i11-33o	i(1-11=11) o(33-216=11)	NGS(148)/o 
Q9BRQ8	AIFM2_HUMAN Apoptosis-inducing factor 2 OS=Homo sapiens GN=AIFM2 PE=1 SV=1	373	i11-33o	i(1-11=11) o(33-373=11)	NSS(248)/o 
P11279	LAMP1_HUMAN Lysosome-associated membrane glycoprotein 1 OS=Homo sapiens GN=LAMP1 PE=1 SV=3	417	i11-33o384-406i	i(1-11=11) o(33-384=352) i(406-417=12)	NGT(37)/o NFS(45)/o NMT(62)/o NRS(76)/o NTS(84)/o NFT(103)/o NAT(107)/o NLS(121)/o NAS(130)/o NVT(165)/o NSS(181)/o NVS(223)/o NGT(228)/o NLT(241)/o NTT(249)/o NKT(261)/o NAS(293)/o NGS(322)/o 
Q8N7P3	CLD22_HUMAN Claudin-22 OS=Homo sapiens GN=CLDN22 PE=2 SV=3	220	i11-33o83-105i118-140o166-188i	i(1-11=11) o(33-83=51) i(105-118=14) o(140-166=27) i(188-220=33)	NWT(45)/o 
Q8N1N2	DYNAP_HUMAN Dynactin-associated protein OS=Homo sapiens GN=DYNAP PE=1 SV=1	210	i114-136o	i(1-114=114) o(136-210=114)	NLT(75)/i NSS(143)/o 
O14863	ZNT4_HUMAN Zinc transporter 4 OS=Homo sapiens GN=SLC30A4 PE=2 SV=2	429	i114-136o146-165i178-200o215-237i273-295o310-332i	i(1-114=114) o(136-146=11) i(165-178=14) o(200-215=16) i(237-273=37) o(295-310=16) i(332-429=98)	NDT(24)/i NCS(97)/i NQS(237)/i 
Q0D2K0	NIPA4_HUMAN Magnesium transporter NIPA4 OS=Homo sapiens GN=NIPAL4 PE=1 SV=3	466	i116-138o186-208i215-237o257-279i286-308o323-345i352-374o384-406i	i(1-116=116) o(138-186=49) i(208-215=8) o(237-257=21) i(279-286=8) o(308-323=16) i(345-352=8) o(374-384=11) i(406-466=61)	NTS(69)/i NGS(74)/i NAT(102)/i NTS(352)/i 
Q8IU68	TMC8_HUMAN Transmembrane channel-like protein 8 OS=Homo sapiens GN=TMC8 PE=2 SV=1	726	i116-138o199-221i299-321o336-358i431-453o487-509i530-552o593-615i	i(1-116=116) o(138-199=62) i(221-299=79) o(321-336=16) i(358-431=74) o(453-487=35) i(509-530=22) o(552-593=42) i(615-726=112)	NLT(148)/o NLT(371)/i NYS(567)/o 
Q16563	SYPL1_HUMAN Synaptophysin-like protein 1 OS=Homo sapiens GN=SYPL1 PE=1 SV=1	259	i117-139o149-171i211-233o	i(1-117=117) o(139-149=11) i(171-211=41) o(233-259=41)	NKT(71)/i NVS(212)/m NTS(243)/o 
O75379	VAMP4_HUMAN Vesicle-associated membrane protein 4 OS=Homo sapiens GN=VAMP4 PE=1 SV=2	141	i118-137o	i(1-118=118) o(137-141=118)	NIT(70)/i NAT(94)/i NRS(100)/i 
O43169	CYB5B_HUMAN Cytochrome b5 type B OS=Homo sapiens GN=CYB5B PE=1 SV=2	146	i118-140o	i(1-118=118) o(140-146=118)	NDT(112)/i 
Q6IA17	SIGIR_HUMAN Single Ig IL-1-related receptor OS=Homo sapiens GN=SIGIRR PE=1 SV=3	410	i118-140o	i(1-118=118) o(140-410=118)	NCT(31)/i NLS(73)/i NVT(86)/i NIS(102)/i NLS(217)/o NYS(394)/o 
Q17RQ9	NKPD1_HUMAN NTPase KAP family P-loop domain-containing protein 1 OS=Homo sapiens GN=NKPD1 PE=2 SV=1	610	i118-140o155-177i	i(1-118=118) o(140-155=16) i(177-610=434)	NRT(298)/i 
P35523	CLCN1_HUMAN Chloride channel protein 1 OS=Homo sapiens GN=CLCN1 PE=1 SV=3	988	i118-140o160-182i211-230o266-288i301-323o348-370i391-413o449-466i473-495o515-537i544-566o	i(1-118=118) o(140-160=21) i(182-211=30) o(230-266=37) i(288-301=14) o(323-348=26) i(370-391=22) o(413-449=37) i(466-473=8) o(495-515=21) i(537-544=8) o(566-988=8)	NNT(430)/o NMS(796)/o NTT(889)/o 
O43520	AT8B1_HUMAN Probable phospholipid-transporting ATPase IC OS=Homo sapiens GN=ATP8B1 PE=1 SV=3	1251	i119-136o140-157i335-357o386-408i950-969o984-1003i1034-1056o1071-1090i1103-1125o1145-1167i	i(1-119=119) o(136-140=5) i(157-335=179) o(357-386=30) i(408-950=543) o(969-984=16) i(1003-1034=32) o(1056-1071=16) i(1090-1103=14) o(1125-1145=21) i(1167-1251=85)	NRT(175)/i NTS(283)/i NSS(368)/o NET(648)/i 
Q8N9F0	NAT8L_HUMAN N-acetylaspartate synthetase OS=Homo sapiens GN=NAT8L PE=1 SV=3	302	i119-141o	i(1-119=119) o(141-302=119)	NYS(240)/o 
Q5JXX7	TMM31_HUMAN Transmembrane protein 31 OS=Homo sapiens GN=TMEM31 PE=2 SV=1	168	i119-141o145-167i	i(1-119=119) o(141-145=5) i(167-168=2)	NNS(16)/i 
Q8NBW4	S38A9_HUMAN Putative sodium-coupled neutral amino acid transporter 9 OS=Homo sapiens GN=SLC38A9 PE=1 SV=2	561	i120-142o147-169i199-221o290-309i316-338o358-380i393-415o440-462i474-496o506-528i541-560o	i(1-120=120) o(142-147=6) i(169-199=31) o(221-290=70) i(309-316=8) o(338-358=21) i(380-393=14) o(415-440=26) i(462-474=13) o(496-506=11) i(528-541=14) o(560-561=14)	NTS(117)/i NDT(239)/o NNS(248)/o NSS(266)/o NDT(274)/o 
Q9P0X4	CAC1I_HUMAN Voltage-dependent T-type calcium channel subunit alpha-1I OS=Homo sapiens GN=CACNA1I PE=1 SV=1	2223	i121-140o213-235i343-365o375-397i762-784o806-828i840-862o1167-1189i1209-1231o1246-1268i1306-1328o1409-1431i1484-1506o1521-1543i1619-1641o1664-1683i1704-1726o	i(1-121=121) o(140-213=74) i(235-343=109) o(365-375=11) i(397-762=366) o(784-806=23) i(828-840=13) o(862-1167=306) i(1189-1209=21) o(1231-1246=16) i(1268-1306=39) o(1328-1409=82) i(1431-1484=54) o(1506-1521=16) i(1543-1619=77) o(1641-1664=24) i(1683-1704=22) o(1726-2223=22)	NLS(173)/o NFT(244)/i NAS(311)/i NRS(872)/o NIT(1342)/o NRS(1345)/o NLS(1823)/o NCT(2003)/o 
O75908	SOAT2_HUMAN Sterol O-acyltransferase 2 OS=Homo sapiens GN=SOAT2 PE=2 SV=1	522	i122-141o156-178i198-220o263-282i302-324o344-366i438-460o470-492i	i(1-122=122) o(141-156=16) i(178-198=21) o(220-263=44) i(282-302=21) o(324-344=21) i(366-438=73) o(460-470=11) i(492-522=31)	NMS(325)/o NST(383)/i 
A6NL05	F74A7_HUMAN Protein FAM74A7 OS=Homo sapiens GN=FAM74A7 PE=3 SV=3	159	i122-144o	i(1-122=122) o(144-159=122)	NFS(138)/m 
Q4VXF1	F74A3_HUMAN Putative protein FAM74A3 OS=Homo sapiens GN=FAM74A3 PE=5 SV=1	159	i122-144o	i(1-122=122) o(144-159=122)	NFS(138)/m 
Q9Y666	S12A7_HUMAN Solute carrier family 12 member 7 OS=Homo sapiens GN=SLC12A7 PE=1 SV=3	1083	i122-144o154-176i197-219o251-270i277-296o412-434i455-477o492-514i555-572o576-598i618-640o	i(1-122=122) o(144-154=11) i(176-197=22) o(219-251=33) i(270-277=8) o(296-412=117) i(434-455=22) o(477-492=16) i(514-555=42) o(572-576=5) i(598-618=21) o(640-1083=21)	NFT(4)/i NYT(91)/i NLS(94)/i NRT(312)/o NNS(331)/o NGS(344)/o NVT(360)/o NRS(439)/i NKS(1029)/o 
Q5SWH9	TMM69_HUMAN Transmembrane protein 69 OS=Homo sapiens GN=TMEM69 PE=2 SV=1	247	i122-144o159-178i185-204o214-236i	i(1-122=122) o(144-159=16) i(178-185=8) o(204-214=11) i(236-247=12)	NFS(41)/i 
Q6YI46	TMM64_HUMAN Transmembrane protein 64 OS=Homo sapiens GN=TMEM64 PE=1 SV=2	380	i122-144o159-181i188-210o308-330i	i(1-122=122) o(144-159=16) i(181-188=8) o(210-308=99) i(330-380=51)	NTS(358)/i 
O94923	GLCE_HUMAN D-glucuronyl C5-epimerase OS=Homo sapiens GN=GLCE PE=1 SV=3	617	i12-29o	i(1-12=12) o(29-617=12)	NLT(225)/o NGS(303)/o NIT(393)/o 
Q10469	MGAT2_HUMAN Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase OS=Homo sapiens GN=MGAT2 PE=1 SV=1	447	i12-29o	i(1-12=12) o(29-447=12)	NVS(69)/o NLT(86)/o 
Q4G0M1	F132B_HUMAN Protein FAM132B OS=Homo sapiens GN=FAM132B PE=2 SV=2	354	i12-29o	i(1-12=12) o(29-354=12)	NLT(243)/o NAS(295)/o NAS(333)/o 
Q92626	PXDN_HUMAN Peroxidasin homolog OS=Homo sapiens GN=PXDN PE=1 SV=2	1479	i12-29o	i(1-12=12) o(29-1479=12)	NIT(390)/o NST(640)/o NGT(699)/o NLS(719)/o NCS(731)/o NDS(865)/o NES(964)/o NLS(1178)/o NIT(1280)/o NST(1368)/o NNT(1425)/o 
P08684	CP3A4_HUMAN Cytochrome P450 3A4 OS=Homo sapiens GN=CYP3A4 PE=1 SV=4	503	i12-29o219-241i	i(1-12=12) o(29-219=191) i(241-503=263)	NET(361)/i NFS(462)/i 
A2RUG3	XKRY2_HUMAN Testis-specific XK-related protein, Y-linked 2 OS=Homo sapiens GN=XKRY2 PE=2 SV=2	117	i12-29o44-66i73-90o	i(1-12=12) o(29-44=16) i(66-73=8) o(90-117=8)	NNS(105)/o NSS(106)/o 
Q9NZK5	CECR1_HUMAN Adenosine deaminase CECR1 OS=Homo sapiens GN=CECR1 PE=1 SV=2	511	i12-30o	i(1-12=12) o(30-511=12)	NVT(127)/o NVT(174)/o NFT(185)/o NTT(378)/o 
Q0GE19	NTCP7_HUMAN Sodium/bile acid cotransporter 7 OS=Homo sapiens GN=SLC10A7 PE=2 SV=1	358	i12-30o40-57i70-92o107-129i136-158o168-187i200-219o234-256i269-291o306-328i	i(1-12=12) o(30-40=11) i(57-70=14) o(92-107=16) i(129-136=8) o(158-168=11) i(187-200=14) o(219-234=16) i(256-269=14) o(291-306=16) i(328-358=31)	NNS(259)/i 
Q9BSA4	TTYH2_HUMAN Protein tweety homolog 2 OS=Homo sapiens GN=TTYH2 PE=1 SV=3	534	i12-30o45-67i87-109o213-235i240-262o388-410i	i(1-12=12) o(30-45=16) i(67-87=21) o(109-213=105) i(235-240=6) o(262-388=127) i(410-534=125)	NST(31)/o NHT(129)/o NVT(283)/o NSS(352)/o 
